"","Algorithm","Power","FDR"
"1","1D_NPMLE",0.46416,0.0909700663110373
"2","2D_NPMLE",0.51984,0.0945203163237525
"3","1D_Proj",0.46296,0.0895086694403288
"4","Welch",0.29164,0.223419859414016
