"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch"
"1",1,0,0.426,0.524,0.424,0.296
"2",2,0,0.464,0.51,0.464,0.276
"3",3,0,0.516,0.562,0.512,0.298
"4",4,0,0.494,0.55,0.494,0.324
"5",5,0,0.452,0.53,0.452,0.274
"6",6,0,0.458,0.496,0.452,0.312
"7",7,0,0.466,0.534,0.466,0.288
"8",8,0,0.428,0.472,0.428,0.26
"9",9,0,0.46,0.512,0.46,0.32
"10",10,0,0.46,0.51,0.458,0.34
"11",11,0,0.464,0.514,0.462,0.27
"12",12,0,0.492,0.534,0.49,0.322
"13",13,0,0.486,0.53,0.486,0.304
"14",14,0,0.492,0.518,0.488,0.29
"15",15,0,0.474,0.52,0.466,0.274
"16",16,0,0.464,0.49,0.466,0.286
"17",17,0,0.44,0.504,0.438,0.302
"18",18,0,0.47,0.538,0.47,0.336
"19",19,0,0.448,0.496,0.448,0.296
"20",20,0,0.414,0.508,0.414,0.296
"21",21,0,0.442,0.486,0.438,0.28
"22",22,0,0.426,0.484,0.424,0.256
"23",23,0,0.454,0.508,0.452,0.288
"24",24,0,0.466,0.508,0.464,0.3
"25",25,0,0.46,0.53,0.46,0.308
"26",26,0,0.498,0.544,0.5,0.322
"27",27,0,0.474,0.528,0.47,0.304
"28",28,0,0.486,0.536,0.486,0.298
"29",29,0,0.444,0.5,0.44,0.274
"30",30,0,0.528,0.562,0.526,0.334
"31",31,0,0.45,0.528,0.446,0.272
"32",32,0,0.468,0.526,0.466,0.314
"33",33,0,0.46,0.496,0.452,0.24
"34",34,0,0.422,0.518,0.422,0.296
"35",35,0,0.494,0.54,0.496,0.28
"36",36,0,0.454,0.512,0.458,0.284
"37",37,0,0.476,0.54,0.474,0.29
"38",38,0,0.476,0.522,0.476,0.268
"39",39,0,0.424,0.506,0.424,0.256
"40",40,0,0.5,0.546,0.5,0.34
"41",41,0,0.466,0.526,0.464,0.27
"42",42,0,0.432,0.49,0.432,0.252
"43",43,0,0.474,0.516,0.472,0.318
"44",44,0,0.426,0.502,0.424,0.274
"45",45,0,0.478,0.53,0.478,0.242
"46",46,0,0.432,0.482,0.432,0.252
"47",47,0,0.494,0.564,0.494,0.294
"48",48,0,0.506,0.548,0.506,0.308
"49",49,0,0.48,0.54,0.484,0.296
"50",50,0,0.45,0.522,0.45,0.308
