"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F"
"1",1,0,0.0888324873096447,0.077720207253886,0,0,0
"2",2,0,0.0761421319796954,0.0717948717948718,0,0,0
"3",3,0,0.0906735751295337,0.104859335038363,0,0,0
"4",4,0,0.082687338501292,0.0874035989717224,0,0,0
"5",5,0,0.0757180156657963,0.0637755102040816,0,0,0
"6",6,0,0.095,0.0810126582278481,0,0,0
"7",7,0,0.0686813186813187,0.0802139037433155,0,0,0
"8",8,0,0.0717948717948718,0.0825,0,0,0
"9",9,0,0.0700808625336927,0.0618279569892473,0,0,0
"10",10,0,0.0944309927360775,0.0909090909090909,0,0,0
"11",11,0,0.0633245382585752,0.0749354005167959,0,0,0
"12",12,0,0.0816326530612245,0.0829145728643216,0,0,0
"13",13,0,0.0897097625329815,0.0833333333333333,0,0,0
"14",14,0,0.083969465648855,0.0856423173803526,0,0,0
"15",15,0,0.0731070496083551,0.0852713178294574,0,0,0
"16",16,0,0.099236641221374,0.0994897959183673,0,0,0
"17",17,0,0.0911458333333333,0.0876288659793814,0,0,0
"18",18,0,0.106382978723404,0.10443864229765,0,0,0
"19",19,0,0.084788029925187,0.100961538461538,0,0,0
"20",20,0,0.072992700729927,0.0815347721822542,0,0,0
"21",21,0,0.102439024390244,0.0798004987531172,0,0,0
"22",22,0,0.104060913705584,0.0934343434343434,0,0,0
"23",23,0,0.128878281622912,0.11138014527845,0,0,0
"24",24,0,0.0975,0.087281795511222,0,0,0
"25",25,0,0.103092783505155,0.11,0,0,0
"26",26,0,0.089238845144357,0.0951156812339332,0,0,0
"27",27,0,0.0926365795724466,0.0972222222222222,0,0,0
"28",28,0,0.0831168831168831,0.0649350649350649,0,0,0
"29",29,0,0.104368932038835,0.101941747572816,0,0,0
"30",30,0,0.0719794344473008,0.086848635235732,0,0,0
"31",31,0,0.108374384236453,0.114077669902913,0,0,0
"32",32,0,0.0911392405063291,0.0957178841309824,0,0,0
"33",33,0,0.108958837772397,0.11244019138756,0,0,0
"34",34,0,0.0878552971576227,0.104477611940299,0,0,0
"35",35,0,0.0731070496083551,0.089058524173028,0,0,0
"36",36,0,0.083969465648855,0.104878048780488,0,0,0
"37",37,0,0.0707070707070707,0.102941176470588,0,0,0
"38",38,0,0.0857908847184987,0.0939947780678851,0,0,0
"39",39,0,0.0591397849462366,0.0585106382978723,0,0,0
"40",40,0,0.0935251798561151,0.0889423076923077,0,0,0
"41",41,0,0.0808080808080808,0.091358024691358,0,0,0
"42",42,0,0.0920716112531969,0.105134474327628,0,0,0
"43",43,0,0.0854922279792746,0.0860759493670886,0,0,0
"44",44,0,0.0663129973474801,0.0736842105263158,0,0,0
"45",45,0,0.0767263427109974,0.0776942355889724,0,0,0
"46",46,0,0.10077519379845,0.0906735751295337,0,0,0
"47",47,0,0.0947368421052632,0.107142857142857,0,0,0
"48",48,0,0.0827250608272506,0.0797101449275362,0,0,0
"49",49,0,0.0965346534653465,0.0975609756097561,0,0,0
"50",50,0,0.101010101010101,0.0945273631840796,0,0,0
