"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t"
"1",1,0,0.4,0.538,0,0.31,0,0.404
"2",2,0,0.386,0.55,0,0.322,0,0.386
"3",3,0,0.446,0.552,0,0.334,0,0.446
"4",4,0,0.372,0.522,0,0.296,0,0.372
"5",5,0,0.414,0.518,0,0.34,0,0.414
"6",6,0,0.362,0.538,0,0.302,0,0.362
"7",7,0,0.414,0.552,0,0.34,0,0.414
"8",8,0,0.426,0.56,0,0.342,0,0.426
"9",9,0,0.426,0.562,0,0.348,0,0.426
"10",10,0,0.386,0.55,0,0.314,0,0.39
"11",11,0,0.402,0.53,0,0.328,0,0.402
"12",12,0,0.37,0.536,0,0.29,0.002,0.37
"13",13,0,0.394,0.528,0,0.314,0,0.394
"14",14,0,0.444,0.586,0,0.358,0,0.444
"15",15,0,0.446,0.552,0,0.35,0,0.446
"16",16,0,0.462,0.584,0,0.368,0,0.462
"17",17,0,0.428,0.566,0,0.322,0,0.426
"18",18,0,0.39,0.544,0,0.278,0,0.39
"19",19,0,0.422,0.546,0,0.328,0,0.416
"20",20,0,0.37,0.5,0,0.26,0.002,0.376
"21",21,0,0.408,0.566,0,0.34,0,0.408
"22",22,0,0.412,0.548,0,0.35,0,0.412
"23",23,0,0.382,0.52,0,0.288,0,0.382
"24",24,0,0.4,0.544,0,0.312,0,0.408
"25",25,0,0.384,0.544,0,0.31,0,0.386
"26",26,0,0.402,0.556,0,0.316,0,0.402
"27",27,0,0.384,0.538,0,0.274,0,0.386
"28",28,0,0.428,0.552,0,0.304,0,0.428
"29",29,0,0.378,0.538,0,0.3,0,0.378
"30",30,0,0.402,0.536,0,0.32,0,0.406
"31",31,0,0.402,0.538,0,0.28,0,0.41
"32",32,0,0.394,0.55,0,0.284,0,0.394
"33",33,0,0.406,0.532,0,0.3,0,0.408
"34",34,0,0.418,0.548,0,0.32,0,0.416
"35",35,0,0.416,0.546,0,0.34,0,0.416
"36",36,0,0.382,0.536,0,0.302,0,0.382
"37",37,0,0.41,0.564,0,0.292,0,0.41
"38",38,0,0.396,0.538,0,0.296,0.002,0.396
"39",39,0,0.38,0.528,0,0.314,0,0.38
"40",40,0,0.394,0.546,0,0.308,0,0.394
"41",41,0,0.432,0.554,0,0.334,0,0.432
"42",42,0,0.444,0.56,0,0.366,0,0.446
"43",43,0,0.416,0.562,0,0.334,0,0.416
"44",44,0,0.412,0.54,0,0.334,0,0.418
"45",45,0,0.414,0.528,0,0.34,0,0.424
"46",46,0,0.43,0.532,0,0.332,0,0.424
"47",47,0,0.438,0.578,0,0.376,0,0.436
"48",48,0,0.428,0.568,0,0.372,0.004,0.428
"49",49,0,0.402,0.546,0,0.314,0,0.402
"50",50,0,0.398,0.548,0,0.318,0.002,0.396
