"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t"
"1",1,0,0,0,0,0,0.0254777070063694,0
"2",2,0,0,0,0,0,0.03125,0
"3",3,0,0,0,0,0,0.0470219435736677,0
"4",4,0,0,0,0,0,0.060702875399361,0
"5",5,0,0,0,0,0,0.060790273556231,0
"6",6,0,0,0,0,0,0.0573065902578797,0
"7",7,0,0,0,0,0,0.0351906158357771,0
"8",8,0,0,0,0,0,0.0457142857142857,0
"9",9,0,0,0,0,0,0.0337423312883436,0
"10",10,0,0,0,0,0,0.0625,0
"11",11,0,0,0,0,0,0.0524691358024691,0
"12",12,0,0,0,0,0,0.0367231638418079,0
"13",13,0,0,0,0,0,0.0447761194029851,0
"14",14,0,0,0,0,0,0.054380664652568,0
"15",15,0,0,0,0,0,0.0472972972972973,0
"16",16,0,0,0,0,0,0.0477611940298507,0
"17",17,0,0,0,0,0,0.0464396284829721,0
"18",18,0,0,0,0,0,0.0776119402985075,0
"19",19,0,0,0,0,0,0.0490196078431373,0
"20",20,0,0,0,0,0,0.027027027027027,0
"21",21,0,0,0,0,0,0.0510510510510511,0
"22",22,0,0,0,0,0,0.0534591194968553,0
"23",23,0,0,0,0,0,0.0278637770897833,0
"24",24,0,0,0,0,0,0.0477611940298507,0
"25",25,0,0,0,0,0,0.0498442367601246,0
"26",26,0,0,0,0,0,0.0570570570570571,0
"27",27,0,0,0,0,0,0.0489296636085627,0
"28",28,0,0,0,0,0,0.0430769230769231,0
"29",29,0,0,0,0,0,0.0457317073170732,0
"30",30,0,0,0,0,0,0.0557275541795666,0
"31",31,0,0,0,0,0,0.0346820809248555,0
"32",32,0,0,0,0,0,0.0402476780185759,0
"33",33,0,0,0,0,0,0.0511182108626198,0
"34",34,0,0,0,0,0,0.027355623100304,0
"35",35,0,0,0,0,0,0.0467289719626168,0
"36",36,0,0,0,0,0,0.0519877675840979,0
"37",37,0,0,0,0,0,0.0355987055016181,0
"38",38,0,0,0,0,0,0.0534591194968553,0
"39",39,0,0,0,0,0,0.0532544378698225,0
"40",40,0,0,0,0,0,0.0419161676646707,0
"41",41,0,0,0,0,0,0.0310344827586207,0
"42",42,0,0,0,0,0,0.0512048192771084,0
"43",43,0,0,0,0,0,0.0416666666666667,0
"44",44,0,0,0,0,0,0.0439882697947214,0
"45",45,0,0,0,0,0,0.0358208955223881,0
"46",46,0,0,0,0,0,0.043859649122807,0
"47",47,0,0,0,0,0,0.0537313432835821,0
"48",48,0,0,0,0,0,0.0483383685800604,0
"49",49,0,0,0,0,0,0.0440251572327044,0
"50",50,0,0,0,0,0,0.0487804878048781,0
