"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","t_test","EV_NPMLE","EV2_NPMLE","Welch_NPMLE"
"1",1,0,0,0,0,0,0,0,0,0,0.694
"2",2,0,0,0,0,0,0,0,0,0,0.664
"3",3,0,0,0,0,0,0,0,0,0,0.634
"4",4,0,0,0,0,0,0,0,0,0,0.668
"5",5,0,0,0,0,0,0,0,0,0,0.706
"6",6,0,0,0,0,0,0,0,0,0,0.636
"7",7,0,0,0,0,0,0,0,0,0,0.658
"8",8,0,0,0,0,0,0,0,0,0,0.646
"9",9,0,0,0,0,0,0,0,0,0,0.648
"10",10,0,0,0,0,0,0,0,0,0,0.668
"11",11,0,0,0,0,0,0,0,0,0,0.7
"12",12,0,0,0,0,0,0,0,0,0,0.618
"13",13,0,0,0,0,0,0,0,0,0,0.706
"14",14,0,0,0,0,0,0,0,0,0,0.676
"15",15,0,0,0,0,0,0,0,0,0,0.71
"16",16,0,0,0,0,0,0,0,0,0,0.648
"17",17,0,0,0,0,0,0,0,0,0,0.664
"18",18,0,0,0,0,0,0,0,0,0,0.656
"19",19,0,0,0,0,0,0,0,0,0,0.7
"20",20,0,0,0,0,0,0,0,0,0,0.666
"21",21,0,0,0,0,0,0,0,0,0,0.644
"22",22,0,0,0,0,0,0,0,0,0,0.688
"23",23,0,0,0,0,0,0,0,0,0,0.646
"24",24,0,0,0,0,0,0,0,0,0,0.666
"25",25,0,0,0,0,0,0,0,0,0,0.654
"26",26,0,0,0,0,0,0,0,0,0,0.634
"27",27,0,0,0,0,0,0,0,0,0,0.68
"28",28,0,0,0,0,0,0,0,0,0,0.686
"29",29,0,0,0,0,0,0,0,0,0,0.688
"30",30,0,0,0,0,0,0,0,0,0,0.676
"31",31,0,0,0,0,0,0,0,0,0,0.696
"32",32,0,0,0,0,0,0,0,0,0,0.684
"33",33,0,0,0,0,0,0,0,0,0,0.678
"34",34,0,0,0,0,0,0,0,0,0,0.662
"35",35,0,0,0,0,0,0,0,0,0,0.718
"36",36,0,0,0,0,0,0,0,0,0,0.652
"37",37,0,0,0,0,0,0,0,0,0,0.674
"38",38,0,0,0,0,0,0,0,0,0,0.674
"39",39,0,0,0,0,0,0,0,0,0,0.688
"40",40,0,0,0,0,0,0,0,0,0,0.646
"41",41,0,0,0,0,0,0,0,0,0,0.66
"42",42,0,0,0,0,0,0,0,0,0,0.712
"43",43,0,0,0,0,0,0,0,0,0,0.728
"44",44,0,0,0,0,0,0,0,0,0,0.672
"45",45,0,0,0,0,0,0,0,0,0,0.676
"46",46,0,0,0,0,0,0,0,0,0,0.686
"47",47,0,0,0,0,0,0,0,0,0,0.668
"48",48,0,0,0,0,0,0,0,0,0,0.652
"49",49,0,0,0,0,0,0,0,0,0,0.672
"50",50,0,0,0,0,0,0,0,0,0,0.698
