"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t"
"1",1,0,0.672,0.69,0,0.646,0.586,0.672
"2",2,0,0.652,0.692,0,0.62,0.57,0.654
"3",3,0,0.666,0.702,0,0.632,0.582,0.666
"4",4,0,0.646,0.668,0,0.608,0.53,0.644
"5",5,0,0.66,0.686,0,0.634,0.606,0.66
"6",6,0,0.67,0.694,0,0.638,0.58,0.67
"7",7,0,0.654,0.68,0,0.634,0.576,0.658
"8",8,0,0.65,0.678,0,0.622,0.584,0.65
"9",9,0,0.65,0.662,0,0.62,0.572,0.65
"10",10,0,0.658,0.678,0,0.642,0.564,0.656
"11",11,0,0.644,0.672,0,0.618,0.542,0.644
"12",12,0,0.658,0.684,0,0.616,0.552,0.658
"13",13,0,0.622,0.654,0,0.602,0.532,0.622
"14",14,0,0.654,0.662,0,0.608,0.556,0.652
"15",15,0,0.684,0.714,0,0.672,0.596,0.684
"16",16,0,0.68,0.69,0,0.664,0.602,0.678
"17",17,0,0.652,0.672,0,0.628,0.572,0.652
"18",18,0,0.692,0.73,0,0.69,0.624,0.692
"19",19,0,0.648,0.672,0,0.616,0.548,0.648
"20",20,0,0.62,0.656,0,0.606,0.564,0.62
"21",21,0,0.654,0.69,0,0.614,0.562,0.652
"22",22,0,0.66,0.67,0,0.64,0.588,0.66
"23",23,0,0.624,0.656,0,0.606,0.526,0.628
"24",24,0,0.666,0.694,0,0.638,0.568,0.664
"25",25,0,0.678,0.696,0,0.662,0.6,0.676
"26",26,0,0.664,0.686,0,0.64,0.58,0.664
"27",27,0,0.648,0.672,0,0.608,0.55,0.648
"28",28,0,0.614,0.64,0,0.592,0.526,0.614
"29",29,0,0.652,0.668,0,0.638,0.584,0.652
"30",30,0,0.642,0.662,0,0.63,0.582,0.644
"31",31,0,0.676,0.698,0,0.648,0.582,0.676
"32",32,0,0.656,0.7,0,0.622,0.568,0.656
"33",33,0,0.708,0.72,0,0.654,0.6,0.708
"34",34,0,0.616,0.642,0,0.608,0.54,0.616
"35",35,0,0.694,0.718,0,0.672,0.624,0.694
"36",36,0,0.652,0.662,0,0.632,0.572,0.652
"37",37,0,0.634,0.648,0,0.596,0.532,0.624
"38",38,0,0.654,0.69,0,0.634,0.598,0.654
"39",39,0,0.698,0.71,0,0.652,0.592,0.698
"40",40,0,0.63,0.68,0,0.618,0.574,0.632
"41",41,0,0.632,0.664,0,0.62,0.542,0.63
"42",42,0,0.684,0.718,0,0.67,0.618,0.684
"43",43,0,0.64,0.654,0,0.624,0.55,0.64
"44",44,0,0.654,0.668,0,0.628,0.576,0.65
"45",45,0,0.636,0.658,0,0.608,0.56,0.638
"46",46,0,0.684,0.7,0,0.658,0.624,0.684
"47",47,0,0.66,0.688,0,0.618,0.566,0.66
"48",48,0,0.648,0.68,0,0.638,0.596,0.648
"49",49,0,0.672,0.694,0,0.648,0.604,0.672
"50",50,0,0.648,0.684,0,0.616,0.578,0.648
