"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch"
"1",1,0.498,0.5,0.524,0.498,0.29
"2",2,0.494,0.492,0.538,0.492,0.342
"3",3,0.528,0.528,0.564,0.528,0.296
"4",4,0.512,0.51,0.522,0.512,0.308
"5",5,0.45,0.452,0.494,0.452,0.258
"6",6,0.514,0.512,0.538,0.512,0.338
"7",7,0.482,0.48,0.54,0.482,0.322
"8",8,0.452,0.454,0.508,0.454,0.304
"9",9,0.464,0.462,0.498,0.462,0.274
"10",10,0.458,0.458,0.512,0.458,0.296
"11",11,0.504,0.504,0.546,0.502,0.28
"12",12,0.484,0.488,0.538,0.484,0.284
"13",13,0.476,0.476,0.5,0.476,0.304
"14",14,0.5,0.5,0.524,0.5,0.294
"15",15,0.49,0.49,0.534,0.488,0.284
"16",16,0.512,0.514,0.548,0.514,0.3
"17",17,0.478,0.476,0.504,0.472,0.25
"18",18,0.488,0.488,0.526,0.486,0.344
"19",19,0.434,0.434,0.472,0.434,0.284
"20",20,0.448,0.448,0.502,0.448,0.254
"21",21,0.49,0.488,0.538,0.49,0.316
"22",22,0.502,0.498,0.57,0.5,0.336
"23",23,0.466,0.464,0.49,0.464,0.33
"24",24,0.54,0.54,0.576,0.54,0.31
"25",25,0.474,0.474,0.512,0.476,0.312
"26",26,0.5,0.502,0.558,0.5,0.302
"27",27,0.498,0.496,0.558,0.496,0.3
"28",28,0.524,0.524,0.55,0.522,0.304
"29",29,0.468,0.476,0.488,0.476,0.292
"30",30,0.516,0.52,0.55,0.516,0.284
"31",31,0.472,0.472,0.498,0.472,0.26
"32",32,0.434,0.434,0.468,0.436,0.262
"33",33,0.444,0.444,0.474,0.438,0.302
"34",34,0.512,0.512,0.552,0.512,0.316
"35",35,0.466,0.466,0.502,0.466,0.264
"36",36,0.48,0.48,0.518,0.48,0.308
"37",37,0.462,0.462,0.498,0.46,0.29
"38",38,0.43,0.43,0.502,0.428,0.278
"39",39,0.446,0.446,0.506,0.446,0.29
"40",40,0.466,0.476,0.522,0.476,0.31
"41",41,0.468,0.468,0.498,0.468,0.308
"42",42,0.47,0.47,0.522,0.47,0.298
"43",43,0.48,0.476,0.522,0.476,0.312
"44",44,0.484,0.486,0.53,0.486,0.282
"45",45,0.494,0.496,0.532,0.494,0.276
"46",46,0.468,0.47,0.508,0.472,0.296
"47",47,0.476,0.476,0.534,0.476,0.254
"48",48,0.458,0.454,0.512,0.454,0.292
"49",49,0.476,0.474,0.554,0.478,0.26
"50",50,0.492,0.492,0.528,0.49,0.3
