"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t","EV_NPMLE"
"1",1,0,0,0,0,0,0,0,0.0714285714285714
"2",2,0,0,0,0,0,0,0,0.0805194805194805
"3",3,0,0,0,0,0,0,0,0.102756892230576
"4",4,0,0,0,0,0,0,0,0.119170984455959
"5",5,0,0,0,0,0,0,0,0.0693333333333333
"6",6,0,0,0,0,0,0,0,0.108753315649867
"7",7,0,0,0,0,0,0,0,0.0951086956521739
"8",8,0,0,0,0,0,0,0,0.0951086956521739
"9",9,0,0,0,0,0,0,0,0.0842391304347826
"10",10,0,0,0,0,0,0,0,0.108585858585859
"11",11,0,0,0,0,0,0,0,0.078740157480315
"12",12,0,0,0,0,0,0,0,0.0869565217391304
"13",13,0,0,0,0,0,0,0,0.112820512820513
"14",14,0,0,0,0,0,0,0,0.117073170731707
"15",15,0,0,0,0,0,0,0,0.101298701298701
"16",16,0,0,0,0,0,0,0,0.0828877005347594
"17",17,0,0,0,0,0,0,0,0.0911602209944751
"18",18,0,0,0,0,0,0,0,0.0807799442896936
"19",19,0,0,0,0,0,0,0,0.095360824742268
"20",20,0,0,0,0,0,0,0,0.125319693094629
"21",21,0,0,0,0,0,0,0,0.0994764397905759
"22",22,0,0,0,0,0,0,0,0.0976253298153034
"23",23,0,0,0,0,0,0,0,0.102209944751381
"24",24,0,0,0,0,0,0,0,0.0984455958549223
"25",25,0,0,0,0,0,0,0,0.113065326633166
"26",26,0,0,0,0,0,0,0,0.135391923990499
"27",27,0,0,0,0,0,0,0,0.0953678474114441
"28",28,0,0,0,0,0,0,0,0.10655737704918
"29",29,0,0,0,0,0,0,0,0.114973262032086
"30",30,0,0,0,0,0,0,0,0.0865921787709497
"31",31,0,0,0,0,0,0,0,0.0931989924433249
"32",32,0,0,0,0,0,0,0,0.107329842931937
"33",33,0,0,0,0,0,0,0,0.106267029972752
"34",34,0,0,0,0,0,0,0,0.0837696335078534
"35",35,0,0,0,0,0,0,0,0.113513513513514
"36",36,0,0,0,0,0,0,0,0.0732984293193717
"37",37,0,0,0,0,0,0,0,0.0931506849315069
"38",38,0,0,0,0,0,0,0,0.123359580052493
"39",39,0,0,0,0,0,0,0,0.0806916426512968
"40",40,0,0,0,0,0,0,0,0.106267029972752
"41",41,0,0,0,0,0,0,0,0.0901408450704225
"42",42,0,0,0,0,0,0,0,0.0867208672086721
"43",43,0,0,0,0,0,0,0,0.0481586402266289
"44",44,0,0,0,0,0,0,0,0.0982367758186398
"45",45,0,0,0,0,0,0,0,0.089974293059126
"46",46,0,0,0,0,0,0,0,0.0761154855643045
"47",47,0,0,0,0,0,0,0,0.100817438692098
"48",48,0,0,0,0,0,0,0,0.0994475138121547
"49",49,0,0,0,0,0,0,0,0.107894736842105
"50",50,0,0,0,0,0,0,0,0.0853994490358127
