"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t","EV_NPMLE","EV2_NPMLE"
"1",1,0,0,0,0,0,0,0,0,0.192575406032483
"2",2,0,0,0,0,0,0,0,0,0.176328502415459
"3",3,0,0,0,0,0,0,0,0,0.181818181818182
"4",4,0,0,0,0,0,0,0,0,0.197619047619048
"5",5,0,0,0,0,0,0,0,0,0.145077720207254
"6",6,0,0,0,0,0,0,0,0,0.133689839572193
"7",7,0,0,0,0,0,0,0,0,0.197701149425287
"8",8,0,0,0,0,0,0,0,0,0.168674698795181
"9",9,0,0,0,0,0,0,0,0,0.175
"10",10,0,0,0,0,0,0,0,0,0.186732186732187
"11",11,0,0,0,0,0,0,0,0,0.18957345971564
"12",12,0,0,0,0,0,0,0,0,0.157360406091371
"13",13,0,0,0,0,0,0,0,0,0.162025316455696
"14",14,0,0,0,0,0,0,0,0,0.211136890951276
"15",15,0,0,0,0,0,0,0,0,0.151898734177215
"16",16,0,0,0,0,0,0,0,0,0.153846153846154
"17",17,0,0,0,0,0,0,0,0,0.214646464646465
"18",18,0,0,0,0,0,0,0,0,0.170426065162907
"19",19,0,0,0,0,0,0,0,0,0.200471698113208
"20",20,0,0,0,0,0,0,0,0,0.207058823529412
"21",21,0,0,0,0,0,0,0,0,0.196969696969697
"22",22,0,0,0,0,0,0,0,0,0.14214463840399
"23",23,0,0,0,0,0,0,0,0,0.146666666666667
"24",24,0,0,0,0,0,0,0,0,0.131313131313131
"25",25,0,0,0,0,0,0,0,0,0.187935034802784
"26",26,0,0,0,0,0,0,0,0,0.198598130841121
"27",27,0,0,0,0,0,0,0,0,0.191387559808612
"28",28,0,0,0,0,0,0,0,0,0.15970515970516
"29",29,0,0,0,0,0,0,0,0,0.157635467980296
"30",30,0,0,0,0,0,0,0,0,0.145454545454545
"31",31,0,0,0,0,0,0,0,0,0.184019370460048
"32",32,0,0,0,0,0,0,0,0,0.177215189873418
"33",33,0,0,0,0,0,0,0,0,0.135135135135135
"34",34,0,0,0,0,0,0,0,0,0.173267326732673
"35",35,0,0,0,0,0,0,0,0,0.218823529411765
"36",36,0,0,0,0,0,0,0,0,0.146529562982005
"37",37,0,0,0,0,0,0,0,0,0.132432432432432
"38",38,0,0,0,0,0,0,0,0,0.173611111111111
"39",39,0,0,0,0,0,0,0,0,0.190804597701149
"40",40,0,0,0,0,0,0,0,0,0.14030612244898
"41",41,0,0,0,0,0,0,0,0,0.181818181818182
"42",42,0,0,0,0,0,0,0,0,0.188630490956072
"43",43,0,0,0,0,0,0,0,0,0.195544554455446
"44",44,0,0,0,0,0,0,0,0,0.193473193473193
"45",45,0,0,0,0,0,0,0,0,0.153846153846154
"46",46,0,0,0,0,0,0,0,0,0.189320388349515
"47",47,0,0,0,0,0,0,0,0,0.220956719817768
"48",48,0,0,0,0,0,0,0,0,0.17005076142132
"49",49,0,0,0,0,0,0,0,0,0.192118226600985
"50",50,0,0,0,0,0,0,0,0,0.14621409921671
