"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t"
"1",1,0,0,0,0,0,0.434,0
"2",2,0,0,0,0,0,0.486,0
"3",3,0,0,0,0,0,0.46,0
"4",4,0,0,0,0,0,0.48,0
"5",5,0,0,0,0,0,0.436,0
"6",6,0,0,0,0,0,0.516,0
"7",7,0,0,0,0,0,0.484,0
"8",8,0,0,0,0,0,0.456,0
"9",9,0,0,0,0,0,0.5,0
"10",10,0,0,0,0,0,0.46,0
"11",11,0,0,0,0,0,0.516,0
"12",12,0,0,0,0,0,0.488,0
"13",13,0,0,0,0,0,0.51,0
"14",14,0,0,0,0,0,0.49,0
"15",15,0,0,0,0,0,0.47,0
"16",16,0,0,0,0,0,0.456,0
"17",17,0,0,0,0,0,0.484,0
"18",18,0,0,0,0,0,0.48,0
"19",19,0,0,0,0,0,0.478,0
"20",20,0,0,0,0,0,0.472,0
"21",21,0,0,0,0,0,0.466,0
"22",22,0,0,0,0,0,0.416,0
"23",23,0,0,0,0,0,0.484,0
"24",24,0,0,0,0,0,0.406,0
"25",25,0,0,0,0,0,0.52,0
"26",26,0,0,0,0,0,0.492,0
"27",27,0,0,0,0,0,0.426,0
"28",28,0,0,0,0,0,0.466,0
"29",29,0,0,0,0,0,0.43,0
"30",30,0,0,0,0,0,0.474,0
"31",31,0,0,0,0,0,0.456,0
"32",32,0,0,0,0,0,0.404,0
"33",33,0,0,0,0,0,0.472,0
"34",34,0,0,0,0,0,0.518,0
"35",35,0,0,0,0,0,0.522,0
"36",36,0,0,0,0,0,0.448,0
"37",37,0,0,0,0,0,0.454,0
"38",38,0,0,0,0,0,0.51,0
"39",39,0,0,0,0,0,0.482,0
"40",40,0,0,0,0,0,0.466,0
"41",41,0,0,0,0,0,0.466,0
"42",42,0,0,0,0,0,0.458,0
"43",43,0,0,0,0,0,0.446,0
"44",44,0,0,0,0,0,0.486,0
"45",45,0,0,0,0,0,0.46,0
"46",46,0,0,0,0,0,0.448,0
"47",47,0,0,0,0,0,0.522,0
"48",48,0,0,0,0,0,0.488,0
"49",49,0,0,0,0,0,0.516,0
"50",50,0,0,0,0,0,0.484,0
