"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch"
"1",1,0.458,0.458,0.54,0.458,0.41
"2",2,0.548,0.548,0.586,0.546,0.458
"3",3,0.534,0.536,0.586,0.534,0.44
"4",4,0.508,0.508,0.562,0.508,0.452
"5",5,0.504,0.504,0.554,0.504,0.444
"6",6,0.526,0.524,0.586,0.524,0.434
"7",7,0.488,0.488,0.58,0.488,0.42
"8",8,0.536,0.536,0.572,0.536,0.448
"9",9,0.55,0.55,0.6,0.55,0.496
"10",10,0.534,0.538,0.584,0.538,0.438
"11",11,0.53,0.528,0.592,0.53,0.418
"12",12,0.49,0.49,0.546,0.49,0.438
"13",13,0.532,0.532,0.576,0.532,0.432
"14",14,0.55,0.55,0.614,0.55,0.486
"15",15,0.57,0.57,0.618,0.57,0.47
"16",16,0.518,0.52,0.602,0.52,0.436
"17",17,0.538,0.538,0.582,0.538,0.474
"18",18,0.55,0.55,0.596,0.548,0.486
"19",19,0.512,0.51,0.572,0.512,0.422
"20",20,0.562,0.562,0.592,0.562,0.462
"21",21,0.522,0.522,0.564,0.522,0.412
"22",22,0.476,0.48,0.528,0.476,0.402
"23",23,0.558,0.558,0.61,0.556,0.478
"24",24,0.512,0.512,0.532,0.508,0.418
"25",25,0.598,0.598,0.64,0.596,0.496
"26",26,0.522,0.522,0.564,0.522,0.466
"27",27,0.512,0.512,0.55,0.51,0.46
"28",28,0.476,0.474,0.544,0.472,0.406
"29",29,0.506,0.506,0.572,0.506,0.422
"30",30,0.562,0.562,0.608,0.562,0.438
"31",31,0.504,0.502,0.564,0.502,0.42
"32",32,0.538,0.54,0.6,0.538,0.458
"33",33,0.558,0.556,0.634,0.556,0.45
"34",34,0.554,0.554,0.608,0.554,0.466
"35",35,0.522,0.522,0.584,0.516,0.42
"36",36,0.504,0.504,0.536,0.504,0.436
"37",37,0.546,0.55,0.608,0.548,0.466
"38",38,0.488,0.488,0.544,0.488,0.428
"39",39,0.55,0.548,0.602,0.548,0.468
"40",40,0.538,0.538,0.606,0.536,0.46
"41",41,0.524,0.524,0.594,0.524,0.458
"42",42,0.528,0.528,0.608,0.526,0.458
"43",43,0.55,0.55,0.598,0.55,0.45
"44",44,0.514,0.514,0.548,0.514,0.408
"45",45,0.514,0.518,0.572,0.514,0.436
"46",46,0.534,0.534,0.564,0.534,0.448
"47",47,0.52,0.518,0.562,0.52,0.454
"48",48,0.538,0.54,0.576,0.536,0.452
"49",49,0.494,0.494,0.542,0.496,0.396
"50",50,0.552,0.552,0.592,0.548,0.442
