"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F"
"1",1,0,0,0,0,0,0.344
"2",2,0,0,0,0,0,0.318
"3",3,0,0,0,0,0,0.304
"4",4,0,0,0,0,0,0.282
"5",5,0,0,0,0,0,0.306
"6",6,0,0,0,0,0,0.296
"7",7,0,0,0,0,0,0.244
"8",8,0,0,0,0,0,0.25
"9",9,0,0,0,0,0,0.274
"10",10,0,0,0,0,0,0.312
"11",11,0,0,0,0,0,0.322
"12",12,0,0,0,0,0,0.266
"13",13,0,0,0,0,0,0.196
"14",14,0,0,0,0,0,0.244
"15",15,0,0,0,0,0,0.202
"16",16,0,0,0,0,0,0.282
"17",17,0,0,0,0,0,0.256
"18",18,0,0,0,0,0,0.202
"19",19,0,0,0,0,0,0.272
"20",20,0,0,0,0,0,0.232
"21",21,0,0,0,0,0,0.268
"22",22,0,0,0,0,0,0.242
"23",23,0,0,0,0,0,0.31
"24",24,0,0,0,0,0,0.274
"25",25,0,0,0,0,0,0.242
"26",26,0,0,0,0,0,0.26
"27",27,0,0,0,0,0,0.262
"28",28,0,0,0,0,0,0.288
"29",29,0,0,0,0,0,0.254
"30",30,0,0,0,0,0,0.276
"31",31,0,0,0,0,0,0.256
"32",32,0,0,0,0,0,0.272
"33",33,0,0,0,0,0,0.306
"34",34,0,0,0,0,0,0.33
"35",35,0,0,0,0,0,0.29
"36",36,0,0,0,0,0,0.282
"37",37,0,0,0,0,0,0.334
"38",38,0,0,0,0,0,0.266
"39",39,0,0,0,0,0,0.26
"40",40,0,0,0,0,0,0.228
"41",41,0,0,0,0,0,0.26
"42",42,0,0,0,0,0,0.258
"43",43,0,0,0,0,0,0.238
"44",44,0,0,0,0,0,0.314
"45",45,0,0,0,0,0,0.358
"46",46,0,0,0,0,0,0.312
"47",47,0,0,0,0,0,0.336
"48",48,0,0,0,0,0,0.246
"49",49,0,0,0,0,0,0.306
"50",50,0,0,0,0,0,0.226
