"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","t_test"
"1",1,0,0.57,0.616,0,0.408,0.004,0.57
"2",2,0,0.476,0.548,0,0.306,0,0.476
"3",3,0,0.498,0.554,0,0.322,0.006,0.5
"4",4,0,0.49,0.552,0,0.318,0,0.494
"5",5,0,0.55,0.602,0,0.322,0,0.548
"6",6,0,0.526,0.588,0,0.318,0.01,0.532
"7",7,0,0.55,0.596,0,0.332,0,0.552
"8",8,0,0.518,0.594,0,0.27,0,0.516
"9",9,0,0.466,0.53,0,0.316,0,0.476
"10",10,0,0.544,0.604,0,0.334,0,0.544
"11",11,0,0.526,0.576,0,0.34,0,0.532
"12",12,0,0.512,0.582,0,0.29,0,0.516
"13",13,0,0.542,0.596,0,0.356,0,0.534
"14",14,0,0.548,0.612,0,0.368,0,0.55
"15",15,0,0.498,0.536,0,0.294,0.002,0.5
"16",16,0,0.518,0.594,0,0.354,0.002,0.526
"17",17,0,0.528,0.59,0,0.346,0,0.536
"18",18,0,0.518,0.596,0,0.344,0,0.524
"19",19,0,0.502,0.582,0,0.332,0,0.508
"20",20,0,0.55,0.592,0,0.384,0.006,0.552
"21",21,0,0.562,0.604,0,0.376,0.008,0.562
"22",22,0,0.536,0.584,0,0.334,0,0.534
"23",23,0,0.526,0.57,0,0.36,0,0.526
"24",24,0,0.516,0.594,0,0.328,0,0.524
"25",25,0,0.522,0.586,0,0.332,0,0.526
"26",26,0,0.524,0.57,0,0.338,0,0.524
"27",27,0,0.472,0.564,0,0.28,0.002,0.472
"28",28,0,0.5,0.55,0,0.314,0.002,0.502
"29",29,0,0.502,0.57,0,0.322,0,0.5
"30",30,0,0.532,0.59,0,0.348,0,0.53
"31",31,0,0.544,0.594,0,0.316,0,0.544
"32",32,0,0.502,0.582,0,0.334,0,0.5
"33",33,0,0.504,0.57,0,0.336,0,0.508
"34",34,0,0.528,0.586,0,0.324,0.008,0.534
"35",35,0,0.512,0.568,0,0.324,0,0.518
"36",36,0,0.544,0.624,0,0.294,0.002,0.546
"37",37,0,0.542,0.618,0,0.326,0.008,0.542
"38",38,0,0.494,0.54,0,0.338,0,0.504
"39",39,0,0.504,0.548,0,0.308,0,0.512
"40",40,0,0.492,0.586,0,0.312,0.002,0.498
"41",41,0,0.516,0.586,0,0.35,0.002,0.522
"42",42,0,0.496,0.544,0,0.314,0,0.49
"43",43,0,0.544,0.572,0,0.34,0,0.546
"44",44,0,0.53,0.59,0,0.34,0,0.532
"45",45,0,0.524,0.592,0,0.324,0,0.518
"46",46,0,0.516,0.552,0,0.318,0,0.516
"47",47,0,0.508,0.56,0,0.334,0,0.51
"48",48,0,0.554,0.586,0,0.332,0.006,0.554
"49",49,0,0.56,0.6,0,0.328,0,0.556
"50",50,0,0.5,0.558,0,0.304,0,0.508
