"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t","EV_NPMLE"
"1",1,0,0,0,0,0,0,0,0.678
"2",2,0,0,0,0,0,0,0,0.664
"3",3,0,0,0,0,0,0,0,0.628
"4",4,0,0,0,0,0,0,0,0.65
"5",5,0,0,0,0,0,0,0,0.652
"6",6,0,0,0,0,0,0,0,0.674
"7",7,0,0,0,0,0,0,0,0.676
"8",8,0,0,0,0,0,0,0,0.644
"9",9,0,0,0,0,0,0,0,0.692
"10",10,0,0,0,0,0,0,0,0.64
"11",11,0,0,0,0,0,0,0,0.668
"12",12,0,0,0,0,0,0,0,0.646
"13",13,0,0,0,0,0,0,0,0.656
"14",14,0,0,0,0,0,0,0,0.666
"15",15,0,0,0,0,0,0,0,0.672
"16",16,0,0,0,0,0,0,0,0.628
"17",17,0,0,0,0,0,0,0,0.622
"18",18,0,0,0,0,0,0,0,0.67
"19",19,0,0,0,0,0,0,0,0.684
"20",20,0,0,0,0,0,0,0,0.626
"21",21,0,0,0,0,0,0,0,0.656
"22",22,0,0,0,0,0,0,0,0.65
"23",23,0,0,0,0,0,0,0,0.632
"24",24,0,0,0,0,0,0,0,0.66
"25",25,0,0,0,0,0,0,0,0.616
"26",26,0,0,0,0,0,0,0,0.652
"27",27,0,0,0,0,0,0,0,0.642
"28",28,0,0,0,0,0,0,0,0.652
"29",29,0,0,0,0,0,0,0,0.628
"30",30,0,0,0,0,0,0,0,0.6
"31",31,0,0,0,0,0,0,0,0.654
"32",32,0,0,0,0,0,0,0,0.656
"33",33,0,0,0,0,0,0,0,0.678
"34",34,0,0,0,0,0,0,0,0.632
"35",35,0,0,0,0,0,0,0,0.652
"36",36,0,0,0,0,0,0,0,0.676
"37",37,0,0,0,0,0,0,0,0.62
"38",38,0,0,0,0,0,0,0,0.632
"39",39,0,0,0,0,0,0,0,0.658
"40",40,0,0,0,0,0,0,0,0.642
"41",41,0,0,0,0,0,0,0,0.662
"42",42,0,0,0,0,0,0,0,0.628
"43",43,0,0,0,0,0,0,0,0.68
"44",44,0,0,0,0,0,0,0,0.632
"45",45,0,0,0,0,0,0,0,0.61
"46",46,0,0,0,0,0,0,0,0.678
"47",47,0,0,0,0,0,0,0,0.602
"48",48,0,0,0,0,0,0,0,0.67
"49",49,0,0,0,0,0,0,0,0.638
"50",50,0,0,0,0,0,0,0,0.646
