"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t"
"1",1,0,0.612,0.646,0,0.58,0.49,0.612
"2",2,0,0.584,0.628,0,0.534,0.442,0.584
"3",3,0,0.59,0.614,0,0.536,0.456,0.59
"4",4,0,0.602,0.642,0,0.588,0.51,0.602
"5",5,0,0.612,0.64,0,0.58,0.468,0.612
"6",6,0,0.598,0.646,0,0.588,0.492,0.598
"7",7,0,0.6,0.65,0,0.58,0.502,0.602
"8",8,0,0.614,0.64,0,0.574,0.484,0.612
"9",9,0,0.64,0.67,0,0.608,0.532,0.64
"10",10,0,0.624,0.65,0,0.574,0.472,0.624
"11",11,0,0.574,0.602,0,0.562,0.478,0.574
"12",12,0,0.556,0.596,0,0.514,0.412,0.556
"13",13,0,0.624,0.668,0,0.556,0.464,0.622
"14",14,0,0.632,0.652,0,0.584,0.458,0.636
"15",15,0,0.636,0.688,0,0.598,0.49,0.636
"16",16,0,0.654,0.676,0,0.626,0.532,0.652
"17",17,0,0.626,0.648,0,0.586,0.48,0.626
"18",18,0,0.588,0.62,0,0.558,0.436,0.588
"19",19,0,0.602,0.65,0,0.566,0.476,0.604
"20",20,0,0.624,0.646,0,0.57,0.484,0.622
"21",21,0,0.618,0.644,0,0.598,0.502,0.618
"22",22,0,0.616,0.65,0,0.58,0.482,0.616
"23",23,0,0.65,0.684,0,0.608,0.52,0.648
"24",24,0,0.626,0.654,0,0.582,0.474,0.626
"25",25,0,0.616,0.638,0,0.558,0.452,0.616
"26",26,0,0.584,0.64,0,0.56,0.444,0.592
"27",27,0,0.638,0.69,0,0.608,0.522,0.638
"28",28,0,0.602,0.62,0,0.56,0.452,0.598
"29",29,0,0.646,0.686,0,0.604,0.55,0.646
"30",30,0,0.63,0.648,0,0.578,0.472,0.63
"31",31,0,0.636,0.666,0,0.552,0.474,0.64
"32",32,0,0.59,0.61,0,0.55,0.456,0.588
"33",33,0,0.626,0.654,0,0.572,0.476,0.628
"34",34,0,0.552,0.594,0,0.5,0.436,0.55
"35",35,0,0.57,0.62,0,0.514,0.416,0.57
"36",36,0,0.594,0.64,0,0.552,0.426,0.594
"37",37,0,0.612,0.65,0,0.576,0.474,0.612
"38",38,0,0.66,0.682,0,0.602,0.506,0.66
"39",39,0,0.628,0.656,0,0.62,0.482,0.628
"40",40,0,0.616,0.638,0,0.566,0.448,0.614
"41",41,0,0.618,0.644,0,0.562,0.476,0.618
"42",42,0,0.612,0.65,0,0.574,0.45,0.614
"43",43,0,0.596,0.638,0,0.564,0.452,0.602
"44",44,0,0.61,0.642,0,0.576,0.47,0.608
"45",45,0,0.616,0.652,0,0.542,0.456,0.616
"46",46,0,0.64,0.668,0,0.598,0.462,0.638
"47",47,0,0.616,0.648,0,0.574,0.458,0.614
"48",48,0,0.6,0.634,0,0.564,0.49,0.6
"49",49,0,0.656,0.668,0,0.602,0.522,0.656
"50",50,0,0.606,0.642,0,0.578,0.482,0.606
