"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch"
"1",1,0.518,0.514,0.552,0.518,0.434
"2",2,0.584,0.582,0.59,0.582,0.466
"3",3,0.58,0.58,0.614,0.58,0.52
"4",4,0.58,0.58,0.592,0.58,0.492
"5",5,0.526,0.526,0.56,0.526,0.428
"6",6,0.53,0.53,0.546,0.53,0.408
"7",7,0.572,0.572,0.594,0.572,0.492
"8",8,0.5,0.498,0.534,0.502,0.412
"9",9,0.568,0.568,0.588,0.564,0.468
"10",10,0.534,0.53,0.562,0.53,0.458
"11",11,0.596,0.594,0.592,0.596,0.48
"12",12,0.566,0.572,0.608,0.568,0.512
"13",13,0.554,0.556,0.586,0.554,0.488
"14",14,0.58,0.58,0.59,0.578,0.462
"15",15,0.586,0.586,0.608,0.586,0.498
"16",16,0.522,0.522,0.546,0.522,0.442
"17",17,0.576,0.576,0.606,0.576,0.484
"18",18,0.576,0.578,0.58,0.576,0.484
"19",19,0.594,0.588,0.614,0.592,0.488
"20",20,0.544,0.542,0.58,0.544,0.442
