"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t"
"1",1,0,0.644,0.676,0,0.624,0.568,0.642
"2",2,0,0.62,0.636,0,0.604,0.536,0.62
"3",3,0,0.614,0.648,0,0.602,0.534,0.614
"4",4,0,0.59,0.646,0,0.578,0.52,0.59
"5",5,0,0.594,0.632,0,0.576,0.492,0.594
"6",6,0,0.618,0.628,0,0.608,0.56,0.618
"7",7,0,0.646,0.684,0,0.63,0.558,0.648
"8",8,0,0.628,0.652,0,0.598,0.524,0.628
"9",9,0,0.566,0.59,0,0.544,0.478,0.566
"10",10,0,0.64,0.658,0,0.612,0.552,0.64
"11",11,0,0.66,0.692,0,0.648,0.56,0.66
"12",12,0,0.622,0.66,0,0.598,0.546,0.628
"13",13,0,0.626,0.666,0,0.602,0.528,0.624
"14",14,0,0.564,0.624,0,0.562,0.48,0.564
"15",15,0,0.598,0.648,0,0.568,0.526,0.598
"16",16,0,0.658,0.694,0,0.634,0.56,0.658
"17",17,0,0.638,0.694,0,0.626,0.584,0.64
"18",18,0,0.644,0.674,0,0.614,0.544,0.644
"19",19,0,0.664,0.694,0,0.636,0.57,0.664
"20",20,0,0.618,0.662,0,0.596,0.54,0.618
"21",21,0,0.632,0.672,0,0.61,0.544,0.632
"22",22,0,0.606,0.63,0,0.592,0.522,0.606
"23",23,0,0.628,0.658,0,0.596,0.538,0.628
"24",24,0,0.602,0.646,0,0.58,0.51,0.604
"25",25,0,0.63,0.66,0,0.618,0.552,0.63
"26",26,0,0.67,0.7,0,0.66,0.586,0.67
"27",27,0,0.64,0.664,0,0.62,0.548,0.64
"28",28,0,0.624,0.646,0,0.6,0.536,0.614
"29",29,0,0.642,0.696,0,0.62,0.578,0.64
"30",30,0,0.602,0.65,0,0.586,0.534,0.6
"31",31,0,0.63,0.662,0,0.608,0.552,0.63
"32",32,0,0.572,0.63,0,0.56,0.512,0.572
"33",33,0,0.624,0.66,0,0.612,0.548,0.626
"34",34,0,0.66,0.7,0,0.644,0.59,0.66
"35",35,0,0.62,0.664,0,0.612,0.568,0.62
"36",36,0,0.66,0.674,0,0.646,0.594,0.66
"37",37,0,0.674,0.708,0,0.662,0.582,0.674
"38",38,0,0.65,0.682,0,0.634,0.57,0.65
"39",39,0,0.588,0.64,0,0.584,0.504,0.588
"40",40,0,0.638,0.668,0,0.612,0.556,0.636
"41",41,0,0.636,0.67,0,0.622,0.558,0.632
"42",42,0,0.644,0.66,0,0.608,0.538,0.646
"43",43,0,0.596,0.632,0,0.578,0.524,0.596
"44",44,0,0.62,0.658,0,0.608,0.522,0.618
"45",45,0,0.642,0.642,0,0.622,0.544,0.642
"46",46,0,0.578,0.628,0,0.58,0.514,0.578
"47",47,0,0.636,0.67,0,0.606,0.558,0.636
"48",48,0,0.624,0.654,0,0.602,0.542,0.624
"49",49,0,0.654,0.68,0,0.636,0.572,0.654
"50",50,0,0.608,0.648,0,0.58,0.536,0.608
