"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t"
"1",1,0,0.61,0.668,0,0.592,0.522,0.61
"2",2,0,0.622,0.672,0,0.614,0.552,0.622
"3",3,0,0.604,0.658,0,0.59,0.5,0.604
"4",4,0,0.618,0.654,0,0.604,0.54,0.618
"5",5,0,0.594,0.63,0,0.566,0.494,0.594
"6",6,0,0.604,0.646,0,0.596,0.508,0.604
"7",7,0,0.614,0.666,0,0.598,0.522,0.614
"8",8,0,0.584,0.624,0,0.566,0.482,0.584
"9",9,0,0.59,0.652,0,0.578,0.492,0.594
"10",10,0,0.592,0.626,0,0.57,0.482,0.592
"11",11,0,0.59,0.626,0,0.568,0.494,0.59
"12",12,0,0.586,0.648,0,0.574,0.518,0.588
"13",13,0,0.594,0.634,0,0.568,0.508,0.594
"14",14,0,0.598,0.652,0,0.584,0.51,0.598
"15",15,0,0.58,0.64,0,0.574,0.496,0.58
"16",16,0,0.604,0.668,0,0.584,0.504,0.606
"17",17,0,0.606,0.666,0,0.594,0.542,0.606
"18",18,0,0.618,0.666,0,0.59,0.512,0.618
"19",19,0,0.6,0.632,0,0.58,0.496,0.6
"20",20,0,0.584,0.61,0,0.566,0.468,0.584
"21",21,0,0.636,0.662,0,0.622,0.526,0.636
"22",22,0,0.61,0.622,0,0.574,0.496,0.614
"23",23,0,0.586,0.65,0,0.562,0.488,0.586
"24",24,0,0.626,0.696,0,0.618,0.53,0.628
"25",25,0,0.622,0.674,0,0.614,0.536,0.622
"26",26,0,0.626,0.672,0,0.614,0.514,0.626
"27",27,0,0.64,0.676,0,0.63,0.56,0.64
"28",28,0,0.606,0.638,0,0.584,0.518,0.606
"29",29,0,0.644,0.668,0,0.628,0.552,0.646
"30",30,0,0.576,0.616,0,0.562,0.454,0.576
"31",31,0,0.582,0.606,0,0.57,0.498,0.582
"32",32,0,0.596,0.63,0,0.586,0.482,0.598
"33",33,0,0.63,0.684,0,0.63,0.548,0.63
"34",34,0,0.63,0.658,0,0.614,0.508,0.63
"35",35,0,0.642,0.662,0,0.64,0.538,0.642
"36",36,0,0.656,0.694,0,0.642,0.588,0.658
"37",37,0,0.594,0.66,0,0.58,0.508,0.596
"38",38,0,0.652,0.68,0,0.618,0.558,0.65
"39",39,0,0.562,0.626,0,0.538,0.462,0.562
"40",40,0,0.634,0.666,0,0.614,0.534,0.634
"41",41,0,0.61,0.66,0,0.592,0.536,0.61
"42",42,0,0.568,0.626,0,0.552,0.47,0.57
"43",43,0,0.644,0.682,0,0.638,0.548,0.644
"44",44,0,0.614,0.648,0,0.588,0.548,0.614
"45",45,0,0.604,0.638,0,0.58,0.476,0.604
"46",46,0,0.624,0.688,0,0.61,0.528,0.624
"47",47,0,0.606,0.644,0,0.594,0.53,0.606
"48",48,0,0.592,0.624,0,0.576,0.496,0.594
"49",49,0,0.616,0.668,0,0.6,0.542,0.616
"50",50,0,0.642,0.678,0,0.62,0.546,0.64
