"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t","EV_NPMLE"
"1",1,0,0,0,0,0,0,0,0.61
"2",2,0,0,0,0,0,0,0,0.638
"3",3,0,0,0,0,0,0,0,0.578
"4",4,0,0,0,0,0,0,0,0.634
"5",5,0,0,0,0,0,0,0,0.62
"6",6,0,0,0,0,0,0,0,0.64
"7",7,0,0,0,0,0,0,0,0.66
"8",8,0,0,0,0,0,0,0,0.624
"9",9,0,0,0,0,0,0,0,0.632
"10",10,0,0,0,0,0,0,0,0.644
"11",11,0,0,0,0,0,0,0,0.598
"12",12,0,0,0,0,0,0,0,0.68
"13",13,0,0,0,0,0,0,0,0.64
"14",14,0,0,0,0,0,0,0,0.62
"15",15,0,0,0,0,0,0,0,0.62
"16",16,0,0,0,0,0,0,0,0.624
"17",17,0,0,0,0,0,0,0,0.65
"18",18,0,0,0,0,0,0,0,0.638
"19",19,0,0,0,0,0,0,0,0.654
"20",20,0,0,0,0,0,0,0,0.62
"21",21,0,0,0,0,0,0,0,0.578
"22",22,0,0,0,0,0,0,0,0.64
"23",23,0,0,0,0,0,0,0,0.652
"24",24,0,0,0,0,0,0,0,0.664
"25",25,0,0,0,0,0,0,0,0.608
"26",26,0,0,0,0,0,0,0,0.638
"27",27,0,0,0,0,0,0,0,0.616
"28",28,0,0,0,0,0,0,0,0.622
"29",29,0,0,0,0,0,0,0,0.642
"30",30,0,0,0,0,0,0,0,0.592
"31",31,0,0,0,0,0,0,0,0.632
"32",32,0,0,0,0,0,0,0,0.672
"33",33,0,0,0,0,0,0,0,0.61
"34",34,0,0,0,0,0,0,0,0.584
"35",35,0,0,0,0,0,0,0,0.598
"36",36,0,0,0,0,0,0,0,0.648
"37",37,0,0,0,0,0,0,0,0.644
"38",38,0,0,0,0,0,0,0,0.612
"39",39,0,0,0,0,0,0,0,0.674
"40",40,0,0,0,0,0,0,0,0.596
"41",41,0,0,0,0,0,0,0,0.626
"42",42,0,0,0,0,0,0,0,0.622
"43",43,0,0,0,0,0,0,0,0.622
"44",44,0,0,0,0,0,0,0,0.624
"45",45,0,0,0,0,0,0,0,0.572
"46",46,0,0,0,0,0,0,0,0.634
"47",47,0,0,0,0,0,0,0,0.606
"48",48,0,0,0,0,0,0,0,0.668
"49",49,0,0,0,0,0,0,0,0.592
"50",50,0,0,0,0,0,0,0,0.624
