"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch"
"1",1,0.456,0.454,0.532,0.456,0.36
"2",2,0.512,0.514,0.592,0.51,0.414
"3",3,0.436,0.434,0.522,0.432,0.34
"4",4,0.438,0.44,0.532,0.44,0.35
"5",5,0.428,0.428,0.518,0.428,0.356
"6",6,0.472,0.476,0.588,0.472,0.412
"7",7,0.474,0.472,0.588,0.472,0.392
"8",8,0.498,0.498,0.586,0.498,0.432
"9",9,0.45,0.448,0.55,0.448,0.376
"10",10,0.474,0.474,0.568,0.474,0.386
"11",11,0.42,0.418,0.55,0.418,0.336
"12",12,0.454,0.458,0.556,0.45,0.368
"13",13,0.386,0.386,0.52,0.386,0.306
"14",14,0.46,0.46,0.542,0.46,0.392
"15",15,0.46,0.46,0.554,0.46,0.4
"16",16,0.448,0.448,0.532,0.448,0.368
"17",17,0.482,0.48,0.568,0.48,0.394
"18",18,0.464,0.46,0.558,0.462,0.404
"19",19,0.458,0.458,0.576,0.46,0.34
"20",20,0.456,0.456,0.572,0.454,0.39
"21",21,0.44,0.44,0.554,0.44,0.368
"22",22,0.474,0.474,0.542,0.474,0.406
"23",23,0.472,0.472,0.566,0.472,0.37
"24",24,0.418,0.418,0.542,0.416,0.318
"25",25,0.46,0.46,0.56,0.458,0.38
"26",26,0.418,0.418,0.53,0.416,0.334
"27",27,0.484,0.482,0.582,0.482,0.45
"28",28,0.428,0.428,0.5,0.428,0.32
"29",29,0.454,0.454,0.566,0.454,0.364
"30",30,0.444,0.444,0.542,0.442,0.348
"31",31,0.476,0.478,0.574,0.476,0.4
"32",32,0.492,0.492,0.612,0.488,0.412
"33",33,0.46,0.456,0.586,0.46,0.384
"34",34,0.45,0.452,0.55,0.448,0.38
"35",35,0.43,0.428,0.54,0.428,0.336
"36",36,0.468,0.468,0.566,0.468,0.388
"37",37,0.452,0.452,0.544,0.452,0.36
"38",38,0.476,0.472,0.554,0.472,0.396
"39",39,0.478,0.48,0.602,0.478,0.416
"40",40,0.448,0.448,0.54,0.448,0.366
"41",41,0.454,0.454,0.53,0.454,0.372
"42",42,0.444,0.444,0.536,0.444,0.4
"43",43,0.472,0.472,0.566,0.47,0.358
"44",44,0.452,0.454,0.53,0.452,0.386
"45",45,0.486,0.486,0.622,0.484,0.436
"46",46,0.452,0.452,0.56,0.452,0.36
"47",47,0.436,0.436,0.53,0.436,0.366
"48",48,0.476,0.476,0.58,0.476,0.394
"49",49,0.518,0.518,0.6,0.518,0.446
"50",50,0.494,0.49,0.564,0.49,0.436
