"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t","EV_NPMLE"
"1",1,0,0,0,0,0,0,0,0.648
"2",2,0,0,0,0,0,0,0,0.642
"3",3,0,0,0,0,0,0,0,0.676
"4",4,0,0,0,0,0,0,0,0.664
"5",5,0,0,0,0,0,0,0,0.692
"6",6,0,0,0,0,0,0,0,0.648
"7",7,0,0,0,0,0,0,0,0.664
"8",8,0,0,0,0,0,0,0,0.656
"9",9,0,0,0,0,0,0,0,0.654
"10",10,0,0,0,0,0,0,0,0.646
"11",11,0,0,0,0,0,0,0,0.64
"12",12,0,0,0,0,0,0,0,0.69
"13",13,0,0,0,0,0,0,0,0.644
"14",14,0,0,0,0,0,0,0,0.618
"15",15,0,0,0,0,0,0,0,0.626
"16",16,0,0,0,0,0,0,0,0.646
"17",17,0,0,0,0,0,0,0,0.66
"18",18,0,0,0,0,0,0,0,0.64
"19",19,0,0,0,0,0,0,0,0.664
"20",20,0,0,0,0,0,0,0,0.64
"21",21,0,0,0,0,0,0,0,0.606
"22",22,0,0,0,0,0,0,0,0.676
"23",23,0,0,0,0,0,0,0,0.636
"24",24,0,0,0,0,0,0,0,0.694
"25",25,0,0,0,0,0,0,0,0.73
"26",26,0,0,0,0,0,0,0,0.676
"27",27,0,0,0,0,0,0,0,0.64
"28",28,0,0,0,0,0,0,0,0.644
"29",29,0,0,0,0,0,0,0,0.674
"30",30,0,0,0,0,0,0,0,0.682
"31",31,0,0,0,0,0,0,0,0.642
"32",32,0,0,0,0,0,0,0,0.644
"33",33,0,0,0,0,0,0,0,0.632
"34",34,0,0,0,0,0,0,0,0.626
"35",35,0,0,0,0,0,0,0,0.686
"36",36,0,0,0,0,0,0,0,0.64
"37",37,0,0,0,0,0,0,0,0.64
"38",38,0,0,0,0,0,0,0,0.61
"39",39,0,0,0,0,0,0,0,0.654
"40",40,0,0,0,0,0,0,0,0.69
"41",41,0,0,0,0,0,0,0,0.678
"42",42,0,0,0,0,0,0,0,0.668
"43",43,0,0,0,0,0,0,0,0.67
"44",44,0,0,0,0,0,0,0,0.69
"45",45,0,0,0,0,0,0,0,0.626
"46",46,0,0,0,0,0,0,0,0.668
"47",47,0,0,0,0,0,0,0,0.662
"48",48,0,0,0,0,0,0,0,0.632
"49",49,0,0,0,0,0,0,0,0.656
"50",50,0,0,0,0,0,0,0,0.73
