"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t","EV_NPMLE"
"1",1,0,0,0,0,0,0,0,0.0635593220338983
"2",2,0,0,0,0,0,0,0,0.0929368029739777
"3",3,0,0,0,0,0,0,0,0.103174603174603
"4",4,0,0,0,0,0,0,0,0.0664206642066421
"5",5,0,0,0,0,0,0,0,0.0606060606060606
"6",6,0,0,0,0,0,0,0,0.0666666666666667
"7",7,0,0,0,0,0,0,0,0.0671936758893281
"8",8,0,0,0,0,0,0,0,0.0759493670886076
"9",9,0,0,0,0,0,0,0,0.11744966442953
"10",10,0,0,0,0,0,0,0,0.125
"11",11,0,0,0,0,0,0,0,0.117056856187291
"12",12,0,0,0,0,0,0,0,0.0988142292490119
"13",13,0,0,0,0,0,0,0,0.064638783269962
"14",14,0,0,0,0,0,0,0,0.0848056537102474
"15",15,0,0,0,0,0,0,0,0.0727969348659004
"16",16,0,0,0,0,0,0,0,0.105042016806723
"17",17,0,0,0,0,0,0,0,0.083969465648855
"18",18,0,0,0,0,0,0,0,0.0905923344947735
"19",19,0,0,0,0,0,0,0,0.0902527075812274
"20",20,0,0,0,0,0,0,0,0.0534351145038168
"21",21,0,0,0,0,0,0,0,0.0852713178294574
"22",22,0,0,0,0,0,0,0,0.0918032786885246
"23",23,0,0,0,0,0,0,0,0.0923076923076923
"24",24,0,0,0,0,0,0,0,0.0827067669172932
"25",25,0,0,0,0,0,0,0,0.0772058823529412
"26",26,0,0,0,0,0,0,0,0.114391143911439
"27",27,0,0,0,0,0,0,0,0.0798479087452472
"28",28,0,0,0,0,0,0,0,0.0967741935483871
"29",29,0,0,0,0,0,0,0,0.094488188976378
"30",30,0,0,0,0,0,0,0,0.0613718411552347
"31",31,0,0,0,0,0,0,0,0.0921501706484642
"32",32,0,0,0,0,0,0,0,0.0549019607843137
"33",33,0,0,0,0,0,0,0,0.0946502057613169
"34",34,0,0,0,0,0,0,0,0.0779220779220779
"35",35,0,0,0,0,0,0,0,0.107806691449814
"36",36,0,0,0,0,0,0,0,0.091254752851711
"37",37,0,0,0,0,0,0,0,0.112359550561798
"38",38,0,0,0,0,0,0,0,0.0757575757575758
"39",39,0,0,0,0,0,0,0,0.0968992248062016
"40",40,0,0,0,0,0,0,0,0.0827586206896552
"41",41,0,0,0,0,0,0,0,0.08984375
"42",42,0,0,0,0,0,0,0,0.0775510204081633
"43",43,0,0,0,0,0,0,0,0.0769230769230769
"44",44,0,0,0,0,0,0,0,0.0740740740740741
"45",45,0,0,0,0,0,0,0,0.0722433460076046
"46",46,0,0,0,0,0,0,0,0.102661596958175
"47",47,0,0,0,0,0,0,0,0.0920502092050209
"48",48,0,0,0,0,0,0,0,0.0930232558139535
"49",49,0,0,0,0,0,0,0,0.116438356164384
"50",50,0,0,0,0,0,0,0,0.126279863481229
