"","Algorithm","Power","FDR"
"1","1D_NPMLE",0.23652,0.0936017674190328
"2","2D_NPMLE",0.48232,0.0904272324491693
"3","1D_Proj",0.23384,0.092907676052233
"4","Welch",0.05584,0.0438618262489893
