"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t","EV_NPMLE","EV2_NPMLE"
"1",1,0,0,0,0,0,0,0,0,0.239130434782609
"2",2,0,0,0,0,0,0,0,0,0.27972027972028
"3",3,0,0,0,0,0,0,0,0,0.197943444730077
"4",4,0,0,0,0,0,0,0,0,0.176
"5",5,0,0,0,0,0,0,0,0,0.23728813559322
"6",6,0,0,0,0,0,0,0,0,0.196185286103542
"7",7,0,0,0,0,0,0,0,0,0.208542713567839
"8",8,0,0,0,0,0,0,0,0,0.259351620947631
"9",9,0,0,0,0,0,0,0,0,0.23224043715847
"10",10,0,0,0,0,0,0,0,0,0.212290502793296
"11",11,0,0,0,0,0,0,0,0,0.242666666666667
"12",12,0,0,0,0,0,0,0,0,0.248041775456919
"13",13,0,0,0,0,0,0,0,0,0.253731343283582
"14",14,0,0,0,0,0,0,0,0,0.242105263157895
"15",15,0,0,0,0,0,0,0,0,0.257281553398058
"16",16,0,0,0,0,0,0,0,0,0.247395833333333
"17",17,0,0,0,0,0,0,0,0,0.233502538071066
"18",18,0,0,0,0,0,0,0,0,0.208
"19",19,0,0,0,0,0,0,0,0,0.206106870229008
"20",20,0,0,0,0,0,0,0,0,0.224806201550388
"21",21,0,0,0,0,0,0,0,0,0.210526315789474
"22",22,0,0,0,0,0,0,0,0,0.251162790697674
"23",23,0,0,0,0,0,0,0,0,0.259615384615385
"24",24,0,0,0,0,0,0,0,0,0.2171581769437
"25",25,0,0,0,0,0,0,0,0,0.201530612244898
"26",26,0,0,0,0,0,0,0,0,0.195845697329377
"27",27,0,0,0,0,0,0,0,0,0.210242587601078
"28",28,0,0,0,0,0,0,0,0,0.268041237113402
"29",29,0,0,0,0,0,0,0,0,0.249370277078086
"30",30,0,0,0,0,0,0,0,0,0.202046035805627
"31",31,0,0,0,0,0,0,0,0,0.248633879781421
"32",32,0,0,0,0,0,0,0,0,0.240196078431373
"33",33,0,0,0,0,0,0,0,0,0.238726790450928
"34",34,0,0,0,0,0,0,0,0,0.238329238329238
"35",35,0,0,0,0,0,0,0,0,0.218997361477573
"36",36,0,0,0,0,0,0,0,0,0.247474747474747
"37",37,0,0,0,0,0,0,0,0,0.18941504178273
"38",38,0,0,0,0,0,0,0,0,0.236714975845411
"39",39,0,0,0,0,0,0,0,0,0.241975308641975
"40",40,0,0,0,0,0,0,0,0,0.206128133704735
"41",41,0,0,0,0,0,0,0,0,0.179487179487179
"42",42,0,0,0,0,0,0,0,0,0.221590909090909
"43",43,0,0,0,0,0,0,0,0,0.215633423180593
"44",44,0,0,0,0,0,0,0,0,0.220338983050847
"45",45,0,0,0,0,0,0,0,0,0.247956403269755
"46",46,0,0,0,0,0,0,0,0,0.233173076923077
"47",47,0,0,0,0,0,0,0,0,0.250645994832041
"48",48,0,0,0,0,0,0,0,0,0.223463687150838
"49",49,0,0,0,0,0,0,0,0,0.248730964467005
"50",50,0,0,0,0,0,0,0,0,0.273399014778325
