"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F"
"1",1,0,0,0,0,0,0.472
"2",2,0,0,0,0,0,0.434
"3",3,0,0,0,0,0,0.462
"4",4,0,0,0,0,0,0.418
"5",5,0,0,0,0,0,0.462
"6",6,0,0,0,0,0,0.466
"7",7,0,0,0,0,0,0.488
"8",8,0,0,0,0,0,0.35
"9",9,0,0,0,0,0,0.43
"10",10,0,0,0,0,0,0.42
"11",11,0,0,0,0,0,0.48
"12",12,0,0,0,0,0,0.456
"13",13,0,0,0,0,0,0.464
"14",14,0,0,0,0,0,0.434
"15",15,0,0,0,0,0,0.452
"16",16,0,0,0,0,0,0.448
"17",17,0,0,0,0,0,0.466
"18",18,0,0,0,0,0,0.456
"19",19,0,0,0,0,0,0.462
"20",20,0,0,0,0,0,0.418
"21",21,0,0,0,0,0,0.46
"22",22,0,0,0,0,0,0.436
"23",23,0,0,0,0,0,0.458
"24",24,0,0,0,0,0,0.422
"25",25,0,0,0,0,0,0.432
"26",26,0,0,0,0,0,0.474
"27",27,0,0,0,0,0,0.428
"28",28,0,0,0,0,0,0.456
"29",29,0,0,0,0,0,0.492
"30",30,0,0,0,0,0,0.472
"31",31,0,0,0,0,0,0.446
"32",32,0,0,0,0,0,0.488
"33",33,0,0,0,0,0,0.466
"34",34,0,0,0,0,0,0.45
"35",35,0,0,0,0,0,0.442
"36",36,0,0,0,0,0,0.464
"37",37,0,0,0,0,0,0.466
"38",38,0,0,0,0,0,0.398
"39",39,0,0,0,0,0,0.438
"40",40,0,0,0,0,0,0.474
"41",41,0,0,0,0,0,0.438
"42",42,0,0,0,0,0,0.46
"43",43,0,0,0,0,0,0.484
"44",44,0,0,0,0,0,0.386
"45",45,0,0,0,0,0,0.424
"46",46,0,0,0,0,0,0.384
"47",47,0,0,0,0,0,0.412
"48",48,0,0,0,0,0,0.424
"49",49,0,0,0,0,0,0.418
"50",50,0,0,0,0,0,0.424
