"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F"
"1",1,0,0,0,0,0,0.03690036900369
"2",2,0,0,0,0,0,0.0526315789473684
"3",3,0,0,0,0,0,0.0269058295964126
"4",4,0,0,0,0,0,0.0304182509505703
"5",5,0,0,0,0,0,0.0190839694656489
"6",6,0,0,0,0,0,0.0240963855421687
"7",7,0,0,0,0,0,0.0251046025104603
"8",8,0,0,0,0,0,0.0358744394618834
"9",9,0,0,0,0,0,0.0309734513274336
"10",10,0,0,0,0,0,0.00847457627118644
"11",11,0,0,0,0,0,0.0239043824701195
"12",12,0,0,0,0,0,0.0226244343891403
"13",13,0,0,0,0,0,0.0278884462151394
"14",14,0,0,0,0,0,0.0358565737051793
"15",15,0,0,0,0,0,0.00418410041841004
"16",16,0,0,0,0,0,0.00896860986547085
"17",17,0,0,0,0,0,0.0276679841897233
"18",18,0,0,0,0,0,0.0427350427350427
"19",19,0,0,0,0,0,0.0238095238095238
"20",20,0,0,0,0,0,0.0296610169491525
"21",21,0,0,0,0,0,0.0192307692307692
"22",22,0,0,0,0,0,0.0382775119617225
"23",23,0,0,0,0,0,0.0223214285714286
"24",24,0,0,0,0,0,0.0476190476190476
"25",25,0,0,0,0,0,0.0476190476190476
"26",26,0,0,0,0,0,0.0258620689655172
"27",27,0,0,0,0,0,0.0303030303030303
"28",28,0,0,0,0,0,0.0111111111111111
"29",29,0,0,0,0,0,0.0365853658536585
"30",30,0,0,0,0,0,0.0349344978165939
"31",31,0,0,0,0,0,0.0169491525423729
"32",32,0,0,0,0,0,0.038961038961039
"33",33,0,0,0,0,0,0.0416666666666667
"34",34,0,0,0,0,0,0.0284552845528455
"35",35,0,0,0,0,0,0.018796992481203
"36",36,0,0,0,0,0,0.0541666666666667
"37",37,0,0,0,0,0,0.0379746835443038
"38",38,0,0,0,0,0,0.0191570881226054
"39",39,0,0,0,0,0,0.0550847457627119
"40",40,0,0,0,0,0,0.0191570881226054
"41",41,0,0,0,0,0,0.0258620689655172
"42",42,0,0,0,0,0,0.0528455284552846
"43",43,0,0,0,0,0,0.0210970464135021
"44",44,0,0,0,0,0,0.0214592274678112
"45",45,0,0,0,0,0,0.0299145299145299
"46",46,0,0,0,0,0,0.0246913580246914
"47",47,0,0,0,0,0,0.0316742081447964
"48",48,0,0,0,0,0,0.037914691943128
"49",49,0,0,0,0,0,0.055045871559633
"50",50,0,0,0,0,0,0.0576131687242798
