"","Algorithm","Power","FDR"
"1","1D_MLE",0.62136,0.0895020571913445
"2","1D_NPMLE",0.62144,0.0894771786098436
"3","2D_NPMLE",0.65044,0.092306370221161
"4","1D_Proj",0.62104,0.0892952145051111
"5","Welch",0.60096,0.0837070983963546
