"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch"
"1",1,0.0928792569659443,0.0928792569659443,0.0828402366863905,0.0928792569659443,0.103942652329749
"2",2,0.0801393728222996,0.0798611111111111,0.0664451827242525,0.0801393728222996,0.102362204724409
"3",3,0.100334448160535,0.1,0.123867069486405,0.100334448160535,0.131086142322097
"4",4,0.08,0.08,0.0884146341463415,0.08,0.1
"5",5,0.0777027027027027,0.0810810810810811,0.086687306501548,0.0782312925170068,0.114814814814815
"6",6,0.0725190839694656,0.0725190839694656,0.0671378091872792,0.0725190839694656,0.123931623931624
"7",7,0.0961538461538462,0.101910828025478,0.0709876543209877,0.101910828025478,0.128787878787879
"8",8,0.0948905109489051,0.0955882352941176,0.0813559322033898,0.0959409594095941,0.161417322834646
"9",9,0.112956810631229,0.115894039735099,0.105263157894737,0.115894039735099,0.144927536231884
"10",10,0.0934256055363322,0.0899653979238754,0.105431309904153,0.0902777777777778,0.125490196078431
"11",11,0.0973154362416107,0.0973154362416107,0.0714285714285714,0.0973154362416107,0.119230769230769
"12",12,0.101398601398601,0.101754385964912,0.103896103896104,0.101045296167247,0.161764705882353
"13",13,0.110091743119266,0.112121212121212,0.0797546012269939,0.109756097560976,0.136200716845878
"14",14,0.0809859154929577,0.0842105263157895,0.0805369127516778,0.0812720848056537,0.127413127413127
"15",15,0.0974842767295598,0.0974842767295598,0.100294985250737,0.0974842767295598,0.142372881355932
"16",16,0.0894039735099338,0.0894039735099338,0.105263157894737,0.0894039735099338,0.144329896907216
"17",17,0.10472972972973,0.10472972972973,0.0984615384615385,0.104377104377104,0.144927536231884
"18",18,0.0769230769230769,0.0798722044728434,0.0679012345679012,0.0798722044728434,0.117241379310345
"19",19,0.0735785953177258,0.0709459459459459,0.0660377358490566,0.0738255033557047,0.121212121212121
"20",20,0.073015873015873,0.0732484076433121,0.0552147239263804,0.073482428115016,0.111888111888112
"21",21,0.0960264900662252,0.0933333333333333,0.084375,0.0960264900662252,0.134545454545455
"22",22,0.0927152317880795,0.0930232558139535,0.115501519756839,0.09,0.139705882352941
"23",23,0.0557620817843866,0.0555555555555556,0.0769230769230769,0.0555555555555556,0.1
"24",24,0.103225806451613,0.102564102564103,0.0945121951219512,0.102893890675241,0.114503816793893
"25",25,0.0738255033557047,0.079734219269103,0.0888888888888889,0.079734219269103,0.103053435114504
"26",26,0.0984615384615385,0.0987654320987654,0.0778443113772455,0.0990712074303406,0.133105802047782
"27",27,0.0736842105263158,0.0736842105263158,0.0610169491525424,0.0736842105263158,0.152941176470588
"28",28,0.0680272108843537,0.0711864406779661,0.0779220779220779,0.0711864406779661,0.145038167938931
"29",29,0.130699088145897,0.130699088145897,0.110787172011662,0.130699088145897,0.141843971631206
"30",30,0.0758620689655172,0.0729166666666667,0.0778816199376947,0.0729166666666667,0.110671936758893
"31",31,0.0927835051546392,0.0896551724137931,0.106583072100313,0.0899653979238754,0.125954198473282
"32",32,0.0721311475409836,0.0635451505016722,0.0773993808049536,0.0635451505016722,0.110714285714286
"33",33,0.108196721311475,0.108910891089109,0.114114114114114,0.108910891089109,0.171102661596958
"34",34,0.113564668769716,0.113564668769716,0.0959752321981424,0.113564668769716,0.142361111111111
"35",35,0.0953947368421053,0.0953947368421053,0.0900621118012422,0.0953947368421053,0.0984251968503937
"36",36,0.115646258503401,0.115646258503401,0.121495327102804,0.115646258503401,0.120622568093385
"37",37,0.0575539568345324,0.0573476702508961,0.0819672131147541,0.0573476702508961,0.0785123966942149
"38",38,0.0977198697068404,0.0947712418300654,0.098159509202454,0.0947712418300654,0.127906976744186
"39",39,0.0848484848484849,0.0795107033639144,0.0722543352601156,0.0823170731707317,0.102389078498294
"40",40,0.0963455149501661,0.0963455149501661,0.125,0.0963455149501661,0.157342657342657
"41",41,0.0828025477707006,0.0771704180064309,0.11271676300578,0.0771704180064309,0.107806691449814
"42",42,0.113636363636364,0.113268608414239,0.086687306501548,0.113268608414239,0.13745704467354
"43",43,0.0963455149501661,0.0963455149501661,0.0825082508250825,0.0963455149501661,0.1284046692607
"44",44,0.0909090909090909,0.088145896656535,0.103641456582633,0.0878787878787879,0.113879003558719
"45",45,0.0989761092150171,0.0993150684931507,0.0869565217391304,0.102112676056338,0.116182572614108
"46",46,0.0827586206896552,0.0862068965517241,0.0950819672131148,0.0830449826989619,0.147286821705426
"47",47,0.0851735015772871,0.0822784810126582,0.0903614457831325,0.0828025477707006,0.14336917562724
"48",48,0.0827814569536424,0.079734219269103,0.0605095541401274,0.079734219269103,0.0842911877394636
"49",49,0.0648464163822526,0.0648464163822526,0.0681114551083591,0.0648464163822526,0.0933852140077821
"50",50,0.103448275862069,0.104529616724739,0.0865384615384615,0.104529616724739,0.14176245210728
