"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch"
"1",1,0.514,0.514,0.572,0.514,0.442
"2",2,0.5,0.5,0.562,0.5,0.4
"3",3,0.508,0.508,0.58,0.508,0.42
"4",4,0.598,0.598,0.638,0.598,0.522
"5",5,0.482,0.482,0.526,0.482,0.424
"6",6,0.586,0.582,0.63,0.584,0.486
"7",7,0.532,0.532,0.59,0.53,0.442
"8",8,0.472,0.472,0.55,0.472,0.396
"9",9,0.512,0.512,0.574,0.512,0.446
"10",10,0.552,0.552,0.622,0.552,0.466
"11",11,0.474,0.474,0.546,0.472,0.41
"12",12,0.508,0.504,0.578,0.504,0.436
"13",13,0.496,0.496,0.55,0.494,0.444
"14",14,0.508,0.51,0.578,0.51,0.416
"15",15,0.514,0.514,0.578,0.514,0.448
"16",16,0.486,0.488,0.566,0.484,0.396
"17",17,0.478,0.478,0.56,0.478,0.404
"18",18,0.484,0.48,0.586,0.48,0.45
"19",19,0.458,0.456,0.558,0.456,0.388
"20",20,0.5,0.504,0.59,0.5,0.44
"21",21,0.48,0.482,0.574,0.48,0.412
"22",22,0.526,0.526,0.6,0.526,0.47
"23",23,0.506,0.504,0.57,0.506,0.428
"24",24,0.466,0.466,0.532,0.466,0.392
"25",25,0.466,0.466,0.532,0.466,0.4
"26",26,0.496,0.498,0.558,0.496,0.44
"27",27,0.49,0.49,0.548,0.488,0.404
"28",28,0.482,0.48,0.538,0.48,0.354
"29",29,0.49,0.49,0.55,0.49,0.412
"30",30,0.52,0.52,0.602,0.52,0.448
"31",31,0.54,0.54,0.616,0.538,0.436
"32",32,0.518,0.52,0.578,0.52,0.47
"33",33,0.504,0.504,0.568,0.504,0.404
"34",34,0.536,0.536,0.594,0.534,0.416
"35",35,0.518,0.52,0.59,0.516,0.442
"36",36,0.49,0.486,0.55,0.486,0.414
"37",37,0.45,0.45,0.522,0.45,0.39
"38",38,0.528,0.528,0.6,0.528,0.454
"39",39,0.532,0.532,0.618,0.532,0.456
"40",40,0.494,0.498,0.562,0.5,0.454
"41",41,0.494,0.492,0.536,0.492,0.408
"42",42,0.55,0.55,0.614,0.55,0.494
"43",43,0.438,0.438,0.512,0.438,0.346
"44",44,0.494,0.494,0.584,0.492,0.422
"45",45,0.478,0.476,0.542,0.474,0.398
"46",46,0.468,0.468,0.568,0.464,0.402
"47",47,0.484,0.484,0.544,0.484,0.398
"48",48,0.466,0.464,0.58,0.464,0.4
"49",49,0.496,0.498,0.524,0.498,0.424
"50",50,0.484,0.484,0.546,0.482,0.406
