"","Algorithm","Power","FDR"
"1","1D_MLE",0.49012,0.092856352325267
"2","1D_NPMLE",0.48968,0.0928651466316715
"3","2D_NPMLE",0.52708,0.0932827135459975
"4","1D_Proj",0.48912,0.0919253958120858
"5","Welch",0.29632,0.294977275568617
