"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","t_test","EV_NPMLE","EV2_NPMLE","Welch_NPMLE"
"1",1,0,0,0,0,0,0,0,0,0,0.0797872340425532
"2",2,0,0,0,0,0,0,0,0,0,0.0856353591160221
"3",3,0,0,0,0,0,0,0,0,0,0.0609418282548476
"4",4,0,0,0,0,0,0,0,0,0,0.0871794871794872
"5",5,0,0,0,0,0,0,0,0,0,0.0564971751412429
"6",6,0,0,0,0,0,0,0,0,0,0.092896174863388
"7",7,0,0,0,0,0,0,0,0,0,0.0805555555555556
"8",8,0,0,0,0,0,0,0,0,0,0.100817438692098
"9",9,0,0,0,0,0,0,0,0,0,0.0909090909090909
"10",10,0,0,0,0,0,0,0,0,0,0.100250626566416
"11",11,0,0,0,0,0,0,0,0,0,0.0767123287671233
"12",12,0,0,0,0,0,0,0,0,0,0.096
"13",13,0,0,0,0,0,0,0,0,0,0.0813648293963255
"14",14,0,0,0,0,0,0,0,0,0,0.0785340314136126
"15",15,0,0,0,0,0,0,0,0,0,0.074468085106383
"16",16,0,0,0,0,0,0,0,0,0,0.0891891891891892
"17",17,0,0,0,0,0,0,0,0,0,0.0826666666666667
"18",18,0,0,0,0,0,0,0,0,0,0.0794871794871795
"19",19,0,0,0,0,0,0,0,0,0,0.121052631578947
"20",20,0,0,0,0,0,0,0,0,0,0.125641025641026
"21",21,0,0,0,0,0,0,0,0,0,0.0693333333333333
"22",22,0,0,0,0,0,0,0,0,0,0.0981432360742706
"23",23,0,0,0,0,0,0,0,0,0,0.0773333333333333
"24",24,0,0,0,0,0,0,0,0,0,0.0921409214092141
"25",25,0,0,0,0,0,0,0,0,0,0.103260869565217
"26",26,0,0,0,0,0,0,0,0,0,0.0877659574468085
"27",27,0,0,0,0,0,0,0,0,0,0.111111111111111
"28",28,0,0,0,0,0,0,0,0,0,0.092436974789916
"29",29,0,0,0,0,0,0,0,0,0,0.117801047120419
"30",30,0,0,0,0,0,0,0,0,0,0.101036269430052
"31",31,0,0,0,0,0,0,0,0,0,0.0858725761772853
"32",32,0,0,0,0,0,0,0,0,0,0.0948509485094851
"33",33,0,0,0,0,0,0,0,0,0,0.0710227272727273
"34",34,0,0,0,0,0,0,0,0,0,0.0888252148997135
"35",35,0,0,0,0,0,0,0,0,0,0.0864864864864865
"36",36,0,0,0,0,0,0,0,0,0,0.0984042553191489
"37",37,0,0,0,0,0,0,0,0,0,0.117493472584856
"38",38,0,0,0,0,0,0,0,0,0,0.0583333333333333
"39",39,0,0,0,0,0,0,0,0,0,0.0902061855670103
"40",40,0,0,0,0,0,0,0,0,0,0.108247422680412
"41",41,0,0,0,0,0,0,0,0,0,0.0702702702702703
"42",42,0,0,0,0,0,0,0,0,0,0.075801749271137
"43",43,0,0,0,0,0,0,0,0,0,0.0986301369863014
"44",44,0,0,0,0,0,0,0,0,0,0.0647887323943662
"45",45,0,0,0,0,0,0,0,0,0,0.101369863013699
"46",46,0,0,0,0,0,0,0,0,0,0.084985835694051
"47",47,0,0,0,0,0,0,0,0,0,0.0898876404494382
"48",48,0,0,0,0,0,0,0,0,0,0.0942857142857143
"49",49,0,0,0,0,0,0,0,0,0,0.0883977900552486
"50",50,0,0,0,0,0,0,0,0,0,0.0696378830083565
