"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch"
"1",1,0.5,0.502,0.558,0.5,0.472
"2",2,0.572,0.574,0.612,0.574,0.53
"3",3,0.538,0.538,0.598,0.538,0.49
"4",4,0.542,0.544,0.592,0.542,0.506
"5",5,0.544,0.546,0.608,0.544,0.516
"6",6,0.574,0.574,0.618,0.574,0.53
"7",7,0.548,0.55,0.612,0.548,0.506
"8",8,0.566,0.566,0.604,0.566,0.546
"9",9,0.578,0.586,0.64,0.584,0.56
"10",10,0.564,0.564,0.628,0.564,0.522
"11",11,0.556,0.556,0.612,0.556,0.508
"12",12,0.534,0.534,0.586,0.534,0.5
"13",13,0.586,0.586,0.64,0.586,0.532
"14",14,0.584,0.584,0.658,0.584,0.548
"15",15,0.598,0.598,0.65,0.598,0.558
"16",16,0.55,0.552,0.602,0.552,0.524
"17",17,0.576,0.578,0.614,0.576,0.52
"18",18,0.594,0.594,0.628,0.594,0.542
"19",19,0.554,0.554,0.612,0.554,0.516
"20",20,0.596,0.594,0.628,0.592,0.52
"21",21,0.556,0.556,0.588,0.556,0.496
"22",22,0.522,0.522,0.562,0.522,0.488
"23",23,0.59,0.59,0.66,0.59,0.544
"24",24,0.516,0.518,0.56,0.516,0.494
"25",25,0.614,0.614,0.648,0.614,0.544
"26",26,0.544,0.542,0.604,0.542,0.5
"27",27,0.55,0.552,0.578,0.55,0.51
"28",28,0.508,0.508,0.56,0.508,0.476
"29",29,0.532,0.532,0.596,0.532,0.508
"30",30,0.602,0.602,0.632,0.6,0.534
"31",31,0.536,0.536,0.596,0.536,0.504
"32",32,0.576,0.574,0.638,0.574,0.536
"33",33,0.576,0.574,0.622,0.572,0.544
"34",34,0.604,0.602,0.662,0.602,0.572
"35",35,0.558,0.56,0.606,0.56,0.526
"36",36,0.54,0.54,0.568,0.54,0.524
"37",37,0.604,0.606,0.644,0.604,0.564
"38",38,0.538,0.538,0.576,0.538,0.488
"39",39,0.544,0.546,0.62,0.544,0.528
"40",40,0.574,0.574,0.63,0.574,0.542
"41",41,0.576,0.576,0.632,0.576,0.554
"42",42,0.556,0.556,0.636,0.556,0.514
"43",43,0.578,0.578,0.632,0.576,0.542
"44",44,0.536,0.536,0.572,0.536,0.502
"45",45,0.55,0.548,0.594,0.548,0.514
"46",46,0.574,0.574,0.616,0.574,0.532
"47",47,0.548,0.55,0.598,0.55,0.528
"48",48,0.544,0.544,0.59,0.544,0.512
"49",49,0.548,0.544,0.588,0.544,0.51
"50",50,0.562,0.562,0.61,0.562,0.538
