"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch"
"1",1,0.47,0.47,0.508,0.47,0.29
"2",2,0.544,0.548,0.592,0.544,0.322
"3",3,0.484,0.478,0.504,0.48,0.324
"4",4,0.492,0.492,0.506,0.492,0.314
"5",5,0.39,0.39,0.454,0.386,0.264
"6",6,0.498,0.502,0.546,0.5,0.348
"7",7,0.518,0.516,0.546,0.516,0.294
"8",8,0.486,0.484,0.536,0.484,0.31
"9",9,0.516,0.504,0.574,0.504,0.314
"10",10,0.504,0.506,0.532,0.502,0.278
"11",11,0.44,0.44,0.482,0.44,0.238
"12",12,0.47,0.478,0.506,0.474,0.254
"13",13,0.47,0.47,0.502,0.47,0.248
"14",14,0.438,0.436,0.49,0.438,0.284
"15",15,0.544,0.542,0.594,0.54,0.354
"16",16,0.482,0.484,0.504,0.48,0.312
"17",17,0.426,0.426,0.512,0.424,0.318
"18",18,0.426,0.428,0.474,0.432,0.258
"19",19,0.472,0.472,0.504,0.472,0.276
"20",20,0.456,0.456,0.484,0.456,0.31
"21",21,0.492,0.492,0.54,0.494,0.32
"22",22,0.484,0.486,0.512,0.48,0.29
"23",23,0.508,0.51,0.548,0.508,0.342
"24",24,0.48,0.48,0.52,0.48,0.296
"25",25,0.512,0.514,0.546,0.512,0.33
"26",26,0.476,0.472,0.492,0.476,0.256
"27",27,0.504,0.504,0.55,0.502,0.284
"28",28,0.494,0.494,0.524,0.494,0.302
"29",29,0.5,0.502,0.546,0.5,0.31
"30",30,0.552,0.554,0.596,0.552,0.314
"31",31,0.522,0.522,0.556,0.522,0.304
"32",32,0.552,0.548,0.586,0.548,0.334
"33",33,0.46,0.452,0.498,0.452,0.272
"34",34,0.512,0.512,0.532,0.512,0.288
"35",35,0.492,0.492,0.526,0.492,0.294
"36",36,0.502,0.5,0.528,0.5,0.318
"37",37,0.5,0.498,0.546,0.5,0.318
"38",38,0.51,0.506,0.548,0.51,0.29
"39",39,0.496,0.496,0.518,0.498,0.294
"40",40,0.504,0.504,0.532,0.506,0.298
"41",41,0.482,0.482,0.506,0.482,0.292
"42",42,0.456,0.458,0.484,0.456,0.302
"43",43,0.484,0.48,0.536,0.478,0.298
"44",44,0.48,0.48,0.512,0.478,0.304
"45",45,0.51,0.51,0.558,0.51,0.272
"46",46,0.446,0.446,0.488,0.446,0.246
"47",47,0.524,0.52,0.548,0.522,0.286
"48",48,0.534,0.532,0.564,0.532,0.32
"49",49,0.532,0.53,0.562,0.53,0.282
"50",50,0.48,0.486,0.502,0.48,0.25
