"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t","EV_NPMLE"
"1",1,0,0,0,0,0,0,0,0.644
"2",2,0,0,0,0,0,0,0,0.666
"3",3,0,0,0,0,0,0,0,0.604
"4",4,0,0,0,0,0,0,0,0.584
"5",5,0,0,0,0,0,0,0,0.674
"6",6,0,0,0,0,0,0,0,0.668
"7",7,0,0,0,0,0,0,0,0.604
"8",8,0,0,0,0,0,0,0,0.652
"9",9,0,0,0,0,0,0,0,0.608
"10",10,0,0,0,0,0,0,0,0.628
"11",11,0,0,0,0,0,0,0,0.6
"12",12,0,0,0,0,0,0,0,0.624
"13",13,0,0,0,0,0,0,0,0.622
"14",14,0,0,0,0,0,0,0,0.6
"15",15,0,0,0,0,0,0,0,0.626
"16",16,0,0,0,0,0,0,0,0.592
"17",17,0,0,0,0,0,0,0,0.61
"18",18,0,0,0,0,0,0,0,0.618
"19",19,0,0,0,0,0,0,0,0.646
"20",20,0,0,0,0,0,0,0,0.638
"21",21,0,0,0,0,0,0,0,0.584
"22",22,0,0,0,0,0,0,0,0.578
"23",23,0,0,0,0,0,0,0,0.61
"24",24,0,0,0,0,0,0,0,0.626
"25",25,0,0,0,0,0,0,0,0.568
"26",26,0,0,0,0,0,0,0,0.666
"27",27,0,0,0,0,0,0,0,0.63
"28",28,0,0,0,0,0,0,0,0.646
"29",29,0,0,0,0,0,0,0,0.62
"30",30,0,0,0,0,0,0,0,0.644
"31",31,0,0,0,0,0,0,0,0.624
"32",32,0,0,0,0,0,0,0,0.608
"33",33,0,0,0,0,0,0,0,0.624
"34",34,0,0,0,0,0,0,0,0.62
"35",35,0,0,0,0,0,0,0,0.622
"36",36,0,0,0,0,0,0,0,0.632
"37",37,0,0,0,0,0,0,0,0.63
"38",38,0,0,0,0,0,0,0,0.602
"39",39,0,0,0,0,0,0,0,0.622
"40",40,0,0,0,0,0,0,0,0.578
"41",41,0,0,0,0,0,0,0,0.63
"42",42,0,0,0,0,0,0,0,0.654
"43",43,0,0,0,0,0,0,0,0.636
"44",44,0,0,0,0,0,0,0,0.646
"45",45,0,0,0,0,0,0,0,0.608
"46",46,0,0,0,0,0,0,0,0.636
"47",47,0,0,0,0,0,0,0,0.634
"48",48,0,0,0,0,0,0,0,0.622
"49",49,0,0,0,0,0,0,0,0.65
"50",50,0,0,0,0,0,0,0,0.694
