"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t"
"1",1,0,0.57,0.608,0,0.538,0.45,0.568
"2",2,0,0.59,0.626,0,0.546,0.442,0.59
"3",3,0,0.568,0.626,0,0.534,0.438,0.568
"4",4,0,0.52,0.588,0,0.506,0.396,0.522
"5",5,0,0.572,0.626,0,0.538,0.434,0.572
"6",6,0,0.518,0.57,0,0.48,0.382,0.518
"7",7,0,0.576,0.616,0,0.538,0.466,0.576
"8",8,0,0.624,0.658,0,0.574,0.444,0.624
"9",9,0,0.578,0.616,0,0.546,0.41,0.576
"10",10,0,0.602,0.666,0,0.58,0.486,0.598
"11",11,0,0.564,0.606,0,0.548,0.454,0.566
"12",12,0,0.518,0.578,0,0.484,0.382,0.522
"13",13,0,0.604,0.656,0,0.582,0.474,0.604
"14",14,0,0.568,0.608,0,0.532,0.376,0.568
"15",15,0,0.624,0.662,0,0.582,0.444,0.624
"16",16,0,0.546,0.602,0,0.522,0.412,0.546
"17",17,0,0.576,0.618,0,0.528,0.428,0.576
"18",18,0,0.61,0.674,0,0.582,0.5,0.612
"19",19,0,0.608,0.646,0,0.582,0.48,0.608
"20",20,0,0.556,0.618,0,0.524,0.42,0.558
"21",21,0,0.58,0.622,0,0.528,0.422,0.578
"22",22,0,0.602,0.63,0,0.56,0.466,0.602
"23",23,0,0.6,0.628,0,0.562,0.462,0.604
"24",24,0,0.616,0.654,0,0.586,0.488,0.618
"25",25,0,0.606,0.646,0,0.574,0.46,0.612
"26",26,0,0.576,0.632,0,0.56,0.444,0.576
"27",27,0,0.602,0.648,0,0.588,0.502,0.602
"28",28,0,0.6,0.63,0,0.562,0.424,0.6
"29",29,0,0.574,0.61,0,0.532,0.44,0.574
"30",30,0,0.584,0.63,0,0.536,0.41,0.584
"31",31,0,0.588,0.638,0,0.546,0.442,0.588
"32",32,0,0.56,0.6,0,0.512,0.384,0.562
"33",33,0,0.574,0.634,0,0.52,0.412,0.576
"34",34,0,0.582,0.648,0,0.558,0.448,0.584
"35",35,0,0.61,0.63,0,0.58,0.478,0.61
"36",36,0,0.576,0.604,0,0.54,0.41,0.576
"37",37,0,0.516,0.578,0,0.482,0.376,0.516
"38",38,0,0.618,0.674,0,0.594,0.47,0.618
"39",39,0,0.54,0.59,0,0.52,0.37,0.54
"40",40,0,0.64,0.684,0,0.618,0.518,0.64
"41",41,0,0.56,0.596,0,0.518,0.422,0.562
"42",42,0,0.546,0.62,0,0.516,0.424,0.548
"43",43,0,0.56,0.612,0,0.538,0.434,0.56
"44",44,0,0.566,0.598,0,0.54,0.426,0.566
"45",45,0,0.562,0.616,0,0.53,0.444,0.562
"46",46,0,0.596,0.636,0,0.548,0.482,0.596
"47",47,0,0.564,0.622,0,0.516,0.41,0.564
"48",48,0,0.574,0.626,0,0.554,0.43,0.574
"49",49,0,0.576,0.634,0,0.542,0.424,0.576
"50",50,0,0.57,0.628,0,0.534,0.458,0.57
