"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch"
"1",1,0.592,0.594,0.616,0.592,0.524
"2",2,0.604,0.606,0.654,0.604,0.558
"3",3,0.61,0.61,0.62,0.61,0.576
"4",4,0.62,0.622,0.62,0.622,0.586
"5",5,0.604,0.604,0.62,0.604,0.564
"6",6,0.632,0.632,0.644,0.632,0.584
"7",7,0.61,0.61,0.628,0.61,0.568
"8",8,0.63,0.63,0.648,0.632,0.58
"9",9,0.574,0.574,0.604,0.574,0.55
"10",10,0.582,0.582,0.61,0.582,0.544
"11",11,0.624,0.63,0.646,0.628,0.574
"12",12,0.606,0.606,0.626,0.606,0.586
"13",13,0.61,0.606,0.638,0.608,0.572
"14",14,0.608,0.606,0.634,0.606,0.6
"15",15,0.67,0.67,0.676,0.67,0.6
"16",16,0.624,0.624,0.644,0.624,0.6
"17",17,0.612,0.618,0.636,0.61,0.556
"18",18,0.622,0.624,0.636,0.622,0.578
"19",19,0.576,0.574,0.612,0.576,0.526
"20",20,0.618,0.616,0.63,0.616,0.578
"21",21,0.6,0.6,0.644,0.602,0.548
"22",22,0.644,0.644,0.662,0.644,0.616
"23",23,0.578,0.576,0.592,0.576,0.532
"24",24,0.622,0.624,0.646,0.624,0.548
"25",25,0.562,0.562,0.586,0.562,0.546
"26",26,0.634,0.634,0.672,0.634,0.612
"27",27,0.574,0.574,0.594,0.576,0.568
"28",28,0.61,0.612,0.646,0.61,0.574
"29",29,0.62,0.62,0.644,0.62,0.568
"30",30,0.6,0.604,0.638,0.6,0.534
"31",31,0.582,0.582,0.594,0.582,0.514
"32",32,0.586,0.586,0.596,0.584,0.528
"33",33,0.548,0.55,0.582,0.548,0.52
"34",34,0.572,0.57,0.598,0.57,0.546
"35",35,0.628,0.628,0.628,0.628,0.578
"36",36,0.604,0.606,0.634,0.606,0.552
"37",37,0.624,0.626,0.636,0.624,0.59
"38",38,0.596,0.596,0.626,0.596,0.568
"39",39,0.622,0.622,0.652,0.622,0.574
"40",40,0.634,0.634,0.642,0.632,0.586
"41",41,0.552,0.552,0.578,0.552,0.508
"42",42,0.608,0.606,0.638,0.608,0.552
"43",43,0.628,0.628,0.652,0.628,0.592
"44",44,0.608,0.608,0.634,0.608,0.564
"45",45,0.64,0.642,0.67,0.638,0.578
"46",46,0.618,0.618,0.636,0.618,0.592
"47",47,0.6,0.6,0.608,0.594,0.53
"48",48,0.574,0.574,0.598,0.574,0.556
"49",49,0.596,0.596,0.618,0.596,0.55
"50",50,0.622,0.622,0.642,0.622,0.582
