"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","t_test","EV_NPMLE","EV2_NPMLE","Welch_NPMLE"
"1",1,0,0,0,0,0,0,0,0,0,0.684
"2",2,0,0,0,0,0,0,0,0,0,0.668
"3",3,0,0,0,0,0,0,0,0,0,0.686
"4",4,0,0,0,0,0,0,0,0,0,0.674
"5",5,0,0,0,0,0,0,0,0,0,0.652
"6",6,0,0,0,0,0,0,0,0,0,0.702
"7",7,0,0,0,0,0,0,0,0,0,0.714
"8",8,0,0,0,0,0,0,0,0,0,0.692
"9",9,0,0,0,0,0,0,0,0,0,0.71
"10",10,0,0,0,0,0,0,0,0,0,0.694
"11",11,0,0,0,0,0,0,0,0,0,0.686
"12",12,0,0,0,0,0,0,0,0,0,0.662
"13",13,0,0,0,0,0,0,0,0,0,0.66
"14",14,0,0,0,0,0,0,0,0,0,0.664
"15",15,0,0,0,0,0,0,0,0,0,0.7
"16",16,0,0,0,0,0,0,0,0,0,0.716
"17",17,0,0,0,0,0,0,0,0,0,0.674
"18",18,0,0,0,0,0,0,0,0,0,0.678
"19",19,0,0,0,0,0,0,0,0,0,0.676
"20",20,0,0,0,0,0,0,0,0,0,0.7
"21",21,0,0,0,0,0,0,0,0,0,0.686
"22",22,0,0,0,0,0,0,0,0,0,0.68
"23",23,0,0,0,0,0,0,0,0,0,0.698
"24",24,0,0,0,0,0,0,0,0,0,0.676
"25",25,0,0,0,0,0,0,0,0,0,0.626
"26",26,0,0,0,0,0,0,0,0,0,0.618
"27",27,0,0,0,0,0,0,0,0,0,0.652
"28",28,0,0,0,0,0,0,0,0,0,0.68
"29",29,0,0,0,0,0,0,0,0,0,0.692
"30",30,0,0,0,0,0,0,0,0,0,0.662
"31",31,0,0,0,0,0,0,0,0,0,0.72
"32",32,0,0,0,0,0,0,0,0,0,0.698
"33",33,0,0,0,0,0,0,0,0,0,0.694
"34",34,0,0,0,0,0,0,0,0,0,0.66
"35",35,0,0,0,0,0,0,0,0,0,0.666
"36",36,0,0,0,0,0,0,0,0,0,0.67
"37",37,0,0,0,0,0,0,0,0,0,0.688
"38",38,0,0,0,0,0,0,0,0,0,0.708
"39",39,0,0,0,0,0,0,0,0,0,0.722
"40",40,0,0,0,0,0,0,0,0,0,0.664
"41",41,0,0,0,0,0,0,0,0,0,0.668
"42",42,0,0,0,0,0,0,0,0,0,0.7
"43",43,0,0,0,0,0,0,0,0,0,0.68
"44",44,0,0,0,0,0,0,0,0,0,0.664
"45",45,0,0,0,0,0,0,0,0,0,0.698
"46",46,0,0,0,0,0,0,0,0,0,0.71
"47",47,0,0,0,0,0,0,0,0,0,0.672
"48",48,0,0,0,0,0,0,0,0,0,0.686
"49",49,0,0,0,0,0,0,0,0,0,0.674
"50",50,0,0,0,0,0,0,0,0,0,0.692
