"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t","EV_NPMLE"
"1",1,0,0,0,0,0,0,0,0.718
"2",2,0,0,0,0,0,0,0,0.686
"3",3,0,0,0,0,0,0,0,0.694
"4",4,0,0,0,0,0,0,0,0.706
"5",5,0,0,0,0,0,0,0,0.714
"6",6,0,0,0,0,0,0,0,0.7
"7",7,0,0,0,0,0,0,0,0.712
"8",8,0,0,0,0,0,0,0,0.702
"9",9,0,0,0,0,0,0,0,0.706
"10",10,0,0,0,0,0,0,0,0.726
"11",11,0,0,0,0,0,0,0,0.728
"12",12,0,0,0,0,0,0,0,0.712
"13",13,0,0,0,0,0,0,0,0.7
"14",14,0,0,0,0,0,0,0,0.716
"15",15,0,0,0,0,0,0,0,0.682
"16",16,0,0,0,0,0,0,0,0.706
"17",17,0,0,0,0,0,0,0,0.69
"18",18,0,0,0,0,0,0,0,0.698
"19",19,0,0,0,0,0,0,0,0.704
"20",20,0,0,0,0,0,0,0,0.664
"21",21,0,0,0,0,0,0,0,0.718
"22",22,0,0,0,0,0,0,0,0.726
"23",23,0,0,0,0,0,0,0,0.752
"24",24,0,0,0,0,0,0,0,0.712
"25",25,0,0,0,0,0,0,0,0.72
"26",26,0,0,0,0,0,0,0,0.668
"27",27,0,0,0,0,0,0,0,0.714
"28",28,0,0,0,0,0,0,0,0.704
"29",29,0,0,0,0,0,0,0,0.71
"30",30,0,0,0,0,0,0,0,0.726
"31",31,0,0,0,0,0,0,0,0.692
"32",32,0,0,0,0,0,0,0,0.74
"33",33,0,0,0,0,0,0,0,0.744
"34",34,0,0,0,0,0,0,0,0.69
"35",35,0,0,0,0,0,0,0,0.698
"36",36,0,0,0,0,0,0,0,0.72
"37",37,0,0,0,0,0,0,0,0.736
"38",38,0,0,0,0,0,0,0,0.68
"39",39,0,0,0,0,0,0,0,0.706
"40",40,0,0,0,0,0,0,0,0.72
"41",41,0,0,0,0,0,0,0,0.72
"42",42,0,0,0,0,0,0,0,0.704
"43",43,0,0,0,0,0,0,0,0.696
"44",44,0,0,0,0,0,0,0,0.66
"45",45,0,0,0,0,0,0,0,0.706
"46",46,0,0,0,0,0,0,0,0.716
"47",47,0,0,0,0,0,0,0,0.704
"48",48,0,0,0,0,0,0,0,0.684
"49",49,0,0,0,0,0,0,0,0.678
"50",50,0,0,0,0,0,0,0,0.728
