"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","t_test","EV_NPMLE","EV2_NPMLE","Welch_NPMLE"
"1",1,0,0,0,0,0,0,0,0,0,0.0806451612903226
"2",2,0,0,0,0,0,0,0,0,0,0.0972972972972973
"3",3,0,0,0,0,0,0,0,0,0,0.0901856763925729
"4",4,0,0,0,0,0,0,0,0,0,0.103723404255319
"5",5,0,0,0,0,0,0,0,0,0,0.0764872521246459
"6",6,0,0,0,0,0,0,0,0,0,0.0664893617021277
"7",7,0,0,0,0,0,0,0,0,0,0.105263157894737
"8",8,0,0,0,0,0,0,0,0,0,0.0846560846560847
"9",9,0,0,0,0,0,0,0,0,0,0.0897435897435897
"10",10,0,0,0,0,0,0,0,0,0,0.107969151670951
"11",11,0,0,0,0,0,0,0,0,0,0.0653950953678474
"12",12,0,0,0,0,0,0,0,0,0,0.0676056338028169
"13",13,0,0,0,0,0,0,0,0,0,0.0598290598290598
"14",14,0,0,0,0,0,0,0,0,0,0.0803324099722992
"15",15,0,0,0,0,0,0,0,0,0,0.0979381443298969
"16",16,0,0,0,0,0,0,0,0,0,0.0749354005167959
"17",17,0,0,0,0,0,0,0,0,0,0.106100795755968
"18",18,0,0,0,0,0,0,0,0,0,0.0737704918032787
"19",19,0,0,0,0,0,0,0,0,0,0.068870523415978
"20",20,0,0,0,0,0,0,0,0,0,0.0861618798955614
"21",21,0,0,0,0,0,0,0,0,0,0.0754716981132075
"22",22,0,0,0,0,0,0,0,0,0,0.102902374670185
"23",23,0,0,0,0,0,0,0,0,0,0.083989501312336
"24",24,0,0,0,0,0,0,0,0,0,0.0962566844919786
"25",25,0,0,0,0,0,0,0,0,0,0.105714285714286
"26",26,0,0,0,0,0,0,0,0,0,0.0857988165680473
"27",27,0,0,0,0,0,0,0,0,0,0.0790960451977401
"28",28,0,0,0,0,0,0,0,0,0,0.0810810810810811
"29",29,0,0,0,0,0,0,0,0,0,0.115089514066496
"30",30,0,0,0,0,0,0,0,0,0,0.10054347826087
"31",31,0,0,0,0,0,0,0,0,0,0.12621359223301
"32",32,0,0,0,0,0,0,0,0,0,0.0958549222797927
"33",33,0,0,0,0,0,0,0,0,0,0.0987012987012987
"34",34,0,0,0,0,0,0,0,0,0,0.0730337078651685
"35",35,0,0,0,0,0,0,0,0,0,0.0775623268698061
"36",36,0,0,0,0,0,0,0,0,0,0.0896739130434783
"37",37,0,0,0,0,0,0,0,0,0,0.0826666666666667
"38",38,0,0,0,0,0,0,0,0,0,0.0946291560102302
"39",39,0,0,0,0,0,0,0,0,0,0.0883838383838384
"40",40,0,0,0,0,0,0,0,0,0,0.0953678474114441
"41",41,0,0,0,0,0,0,0,0,0,0.0923913043478261
"42",42,0,0,0,0,0,0,0,0,0,0.0885416666666667
"43",43,0,0,0,0,0,0,0,0,0,0.100529100529101
"44",44,0,0,0,0,0,0,0,0,0,0.0853994490358127
"45",45,0,0,0,0,0,0,0,0,0,0.0863874345549738
"46",46,0,0,0,0,0,0,0,0,0,0.0989847715736041
"47",47,0,0,0,0,0,0,0,0,0,0.0844686648501362
"48",48,0,0,0,0,0,0,0,0,0,0.0997375328083989
"49",49,0,0,0,0,0,0,0,0,0,0.113157894736842
"50",50,0,0,0,0,0,0,0,0,0,0.10594315245478
