"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t","EV_NPMLE","EV2_NPMLE"
"1",1,0,0,0,0,0,0,0,0,0.676
"2",2,0,0,0,0,0,0,0,0,0.63
"3",3,0,0,0,0,0,0,0,0,0.614
"4",4,0,0,0,0,0,0,0,0,0.674
"5",5,0,0,0,0,0,0,0,0,0.682
"6",6,0,0,0,0,0,0,0,0,0.648
"7",7,0,0,0,0,0,0,0,0,0.664
"8",8,0,0,0,0,0,0,0,0,0.682
"9",9,0,0,0,0,0,0,0,0,0.642
"10",10,0,0,0,0,0,0,0,0,0.698
"11",11,0,0,0,0,0,0,0,0,0.678
"12",12,0,0,0,0,0,0,0,0,0.648
"13",13,0,0,0,0,0,0,0,0,0.706
"14",14,0,0,0,0,0,0,0,0,0.644
"15",15,0,0,0,0,0,0,0,0,0.644
"16",16,0,0,0,0,0,0,0,0,0.626
"17",17,0,0,0,0,0,0,0,0,0.628
"18",18,0,0,0,0,0,0,0,0,0.672
"19",19,0,0,0,0,0,0,0,0,0.65
"20",20,0,0,0,0,0,0,0,0,0.67
"21",21,0,0,0,0,0,0,0,0,0.698
"22",22,0,0,0,0,0,0,0,0,0.632
"23",23,0,0,0,0,0,0,0,0,0.614
"24",24,0,0,0,0,0,0,0,0,0.63
"25",25,0,0,0,0,0,0,0,0,0.65
"26",26,0,0,0,0,0,0,0,0,0.676
"27",27,0,0,0,0,0,0,0,0,0.684
"28",28,0,0,0,0,0,0,0,0,0.654
"29",29,0,0,0,0,0,0,0,0,0.658
"30",30,0,0,0,0,0,0,0,0,0.678
"31",31,0,0,0,0,0,0,0,0,0.658
"32",32,0,0,0,0,0,0,0,0,0.642
"33",33,0,0,0,0,0,0,0,0,0.668
"34",34,0,0,0,0,0,0,0,0,0.622
"35",35,0,0,0,0,0,0,0,0,0.656
"36",36,0,0,0,0,0,0,0,0,0.642
"37",37,0,0,0,0,0,0,0,0,0.62
"38",38,0,0,0,0,0,0,0,0,0.642
"39",39,0,0,0,0,0,0,0,0,0.646
"40",40,0,0,0,0,0,0,0,0,0.654
"41",41,0,0,0,0,0,0,0,0,0.634
"42",42,0,0,0,0,0,0,0,0,0.674
"43",43,0,0,0,0,0,0,0,0,0.638
"44",44,0,0,0,0,0,0,0,0,0.652
"45",45,0,0,0,0,0,0,0,0,0.688
"46",46,0,0,0,0,0,0,0,0,0.656
"47",47,0,0,0,0,0,0,0,0,0.672
"48",48,0,0,0,0,0,0,0,0,0.634
"49",49,0,0,0,0,0,0,0,0,0.672
"50",50,0,0,0,0,0,0,0,0,0.63
