"","Algorithm","Power","FDR"
"1","1D_MLE",0.65688,0.0880359624845544
"2","1D_NPMLE",0.65704,0.0880632381980941
"3","2D_NPMLE",0.67616,0.086523429428057
"4","1D_Proj",0.6568,0.0883979852883859
"5","Welch",0.64532,0.085254724590514
