"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","t_test","EV_NPMLE","EV2_NPMLE","Welch_NPMLE"
"1",1,0,0,0,0,0,0,0,0,0,0.614
"2",2,0,0,0,0,0,0,0,0,0,0.656
"3",3,0,0,0,0,0,0,0,0,0,0.638
"4",4,0,0,0,0,0,0,0,0,0,0.63
"5",5,0,0,0,0,0,0,0,0,0,0.646
"6",6,0,0,0,0,0,0,0,0,0,0.652
"7",7,0,0,0,0,0,0,0,0,0,0.644
"8",8,0,0,0,0,0,0,0,0,0,0.656
"9",9,0,0,0,0,0,0,0,0,0,0.674
"10",10,0,0,0,0,0,0,0,0,0,0.674
"11",11,0,0,0,0,0,0,0,0,0,0.66
"12",12,0,0,0,0,0,0,0,0,0,0.69
"13",13,0,0,0,0,0,0,0,0,0,0.666
"14",14,0,0,0,0,0,0,0,0,0,0.658
"15",15,0,0,0,0,0,0,0,0,0,0.656
"16",16,0,0,0,0,0,0,0,0,0,0.662
"17",17,0,0,0,0,0,0,0,0,0,0.642
"18",18,0,0,0,0,0,0,0,0,0,0.628
"19",19,0,0,0,0,0,0,0,0,0,0.69
"20",20,0,0,0,0,0,0,0,0,0,0.678
"21",21,0,0,0,0,0,0,0,0,0,0.642
"22",22,0,0,0,0,0,0,0,0,0,0.646
"23",23,0,0,0,0,0,0,0,0,0,0.614
"24",24,0,0,0,0,0,0,0,0,0,0.614
"25",25,0,0,0,0,0,0,0,0,0,0.65
"26",26,0,0,0,0,0,0,0,0,0,0.65
"27",27,0,0,0,0,0,0,0,0,0,0.654
"28",28,0,0,0,0,0,0,0,0,0,0.664
"29",29,0,0,0,0,0,0,0,0,0,0.7
"30",30,0,0,0,0,0,0,0,0,0,0.618
"31",31,0,0,0,0,0,0,0,0,0,0.628
"32",32,0,0,0,0,0,0,0,0,0,0.706
"33",33,0,0,0,0,0,0,0,0,0,0.66
"34",34,0,0,0,0,0,0,0,0,0,0.678
"35",35,0,0,0,0,0,0,0,0,0,0.62
"36",36,0,0,0,0,0,0,0,0,0,0.658
"37",37,0,0,0,0,0,0,0,0,0,0.664
"38",38,0,0,0,0,0,0,0,0,0,0.694
"39",39,0,0,0,0,0,0,0,0,0,0.608
"40",40,0,0,0,0,0,0,0,0,0,0.674
"41",41,0,0,0,0,0,0,0,0,0,0.626
"42",42,0,0,0,0,0,0,0,0,0,0.646
"43",43,0,0,0,0,0,0,0,0,0,0.648
"44",44,0,0,0,0,0,0,0,0,0,0.726
"45",45,0,0,0,0,0,0,0,0,0,0.692
"46",46,0,0,0,0,0,0,0,0,0,0.646
"47",47,0,0,0,0,0,0,0,0,0,0.662
"48",48,0,0,0,0,0,0,0,0,0,0.634
"49",49,0,0,0,0,0,0,0,0,0,0.688
"50",50,0,0,0,0,0,0,0,0,0,0.676
