"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","t_test","EV_NPMLE","EV2_NPMLE","Welch_NPMLE"
"1",1,0,0,0,0,0,0,0,0,0,0.0725075528700906
"2",2,0,0,0,0,0,0,0,0,0,0.0574712643678161
"3",3,0,0,0,0,0,0,0,0,0,0.101408450704225
"4",4,0,0,0,0,0,0,0,0,0,0.0948275862068965
"5",5,0,0,0,0,0,0,0,0,0,0.084985835694051
"6",6,0,0,0,0,0,0,0,0,0,0.0842696629213483
"7",7,0,0,0,0,0,0,0,0,0,0.08
"8",8,0,0,0,0,0,0,0,0,0,0.108695652173913
"9",9,0,0,0,0,0,0,0,0,0,0.110817941952507
"10",10,0,0,0,0,0,0,0,0,0,0.096514745308311
"11",11,0,0,0,0,0,0,0,0,0,0.0807799442896936
"12",12,0,0,0,0,0,0,0,0,0,0.0992167101827676
"13",13,0,0,0,0,0,0,0,0,0,0.0951086956521739
"14",14,0,0,0,0,0,0,0,0,0,0.101092896174863
"15",15,0,0,0,0,0,0,0,0,0,0.0547550432276657
"16",16,0,0,0,0,0,0,0,0,0,0.0931506849315069
"17",17,0,0,0,0,0,0,0,0,0,0.0906515580736544
"18",18,0,0,0,0,0,0,0,0,0,0.0818713450292398
"19",19,0,0,0,0,0,0,0,0,0,0.0824468085106383
"20",20,0,0,0,0,0,0,0,0,0,0.0887096774193548
"21",21,0,0,0,0,0,0,0,0,0,0.0957746478873239
"22",22,0,0,0,0,0,0,0,0,0,0.0823863636363636
"23",23,0,0,0,0,0,0,0,0,0,0.0808383233532934
"24",24,0,0,0,0,0,0,0,0,0,0.0808383233532934
"25",25,0,0,0,0,0,0,0,0,0,0.133333333333333
"26",26,0,0,0,0,0,0,0,0,0,0.0921787709497207
"27",27,0,0,0,0,0,0,0,0,0,0.0603448275862069
"28",28,0,0,0,0,0,0,0,0,0,0.0752089136490251
"29",29,0,0,0,0,0,0,0,0,0,0.0691489361702128
"30",30,0,0,0,0,0,0,0,0,0,0.0991253644314869
"31",31,0,0,0,0,0,0,0,0,0,0.0626865671641791
"32",32,0,0,0,0,0,0,0,0,0,0.0971867007672634
"33",33,0,0,0,0,0,0,0,0,0,0.0833333333333333
"34",34,0,0,0,0,0,0,0,0,0,0.0911528150134048
"35",35,0,0,0,0,0,0,0,0,0,0.0606060606060606
"36",36,0,0,0,0,0,0,0,0,0,0.0861111111111111
"37",37,0,0,0,0,0,0,0,0,0,0.0879120879120879
"38",38,0,0,0,0,0,0,0,0,0,0.072192513368984
"39",39,0,0,0,0,0,0,0,0,0,0.0843373493975904
"40",40,0,0,0,0,0,0,0,0,0,0.0817438692098093
"41",41,0,0,0,0,0,0,0,0,0,0.054380664652568
"42",42,0,0,0,0,0,0,0,0,0,0.0664739884393064
"43",43,0,0,0,0,0,0,0,0,0,0.0847457627118644
"44",44,0,0,0,0,0,0,0,0,0,0.0879396984924623
"45",45,0,0,0,0,0,0,0,0,0,0.0918635170603675
"46",46,0,0,0,0,0,0,0,0,0,0.0952380952380952
"47",47,0,0,0,0,0,0,0,0,0,0.105405405405405
"48",48,0,0,0,0,0,0,0,0,0,0.0621301775147929
"49",49,0,0,0,0,0,0,0,0,0,0.104166666666667
"50",50,0,0,0,0,0,0,0,0,0,0.0986666666666667
