"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t","EV_NPMLE","EV2_NPMLE"
"1",1,0,0,0,0,0,0,0,0,0.556
"2",2,0,0,0,0,0,0,0,0,0.536
"3",3,0,0,0,0,0,0,0,0,0.524
"4",4,0,0,0,0,0,0,0,0,0.564
"5",5,0,0,0,0,0,0,0,0,0.53
"6",6,0,0,0,0,0,0,0,0,0.56
"7",7,0,0,0,0,0,0,0,0,0.518
"8",8,0,0,0,0,0,0,0,0,0.6
"9",9,0,0,0,0,0,0,0,0,0.55
"10",10,0,0,0,0,0,0,0,0,0.532
"11",11,0,0,0,0,0,0,0,0,0.586
"12",12,0,0,0,0,0,0,0,0,0.578
"13",13,0,0,0,0,0,0,0,0,0.584
"14",14,0,0,0,0,0,0,0,0,0.574
"15",15,0,0,0,0,0,0,0,0,0.494
"16",16,0,0,0,0,0,0,0,0,0.536
"17",17,0,0,0,0,0,0,0,0,0.564
"18",18,0,0,0,0,0,0,0,0,0.554
"19",19,0,0,0,0,0,0,0,0,0.56
"20",20,0,0,0,0,0,0,0,0,0.528
"21",21,0,0,0,0,0,0,0,0,0.518
"22",22,0,0,0,0,0,0,0,0,0.58
"23",23,0,0,0,0,0,0,0,0,0.512
"24",24,0,0,0,0,0,0,0,0,0.55
"25",25,0,0,0,0,0,0,0,0,0.534
"26",26,0,0,0,0,0,0,0,0,0.57
"27",27,0,0,0,0,0,0,0,0,0.552
"28",28,0,0,0,0,0,0,0,0,0.58
"29",29,0,0,0,0,0,0,0,0,0.53
"30",30,0,0,0,0,0,0,0,0,0.578
"31",31,0,0,0,0,0,0,0,0,0.602
"32",32,0,0,0,0,0,0,0,0,0.518
"33",33,0,0,0,0,0,0,0,0,0.524
"34",34,0,0,0,0,0,0,0,0,0.586
"35",35,0,0,0,0,0,0,0,0,0.544
"36",36,0,0,0,0,0,0,0,0,0.554
"37",37,0,0,0,0,0,0,0,0,0.526
"38",38,0,0,0,0,0,0,0,0,0.562
"39",39,0,0,0,0,0,0,0,0,0.588
"40",40,0,0,0,0,0,0,0,0,0.548
"41",41,0,0,0,0,0,0,0,0,0.582
"42",42,0,0,0,0,0,0,0,0,0.534
"43",43,0,0,0,0,0,0,0,0,0.596
"44",44,0,0,0,0,0,0,0,0,0.54
"45",45,0,0,0,0,0,0,0,0,0.526
"46",46,0,0,0,0,0,0,0,0,0.582
"47",47,0,0,0,0,0,0,0,0,0.556
"48",48,0,0,0,0,0,0,0,0,0.544
"49",49,0,0,0,0,0,0,0,0,0.554
"50",50,0,0,0,0,0,0,0,0,0.542
