"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","t_test"
"1",1,0,0.0869565217391304,0.0825082508250825,0,0.103448275862069,0,0.0936170212765957
"2",2,0,0.0981132075471698,0.0909090909090909,0,0.0756756756756757,0,0.0981132075471698
"3",3,0,0.0936170212765957,0.0947712418300654,0,0.0955414012738854,0,0.0974576271186441
"4",4,0,0.107296137339056,0.0788530465949821,0,0.0845070422535211,0,0.106382978723404
"5",5,0,0.105454545454545,0.0949367088607595,0,0.139664804469274,0,0.108695652173913
"6",6,0,0.0963855421686747,0.0983050847457627,0,0.121019108280255,0,0.099601593625498
"7",7,0,0.116935483870968,0.0683453237410072,0,0.121794871794872,0,0.116935483870968
"8",8,0,0.109433962264151,0.0759075907590759,0,0.119047619047619,0,0.106870229007634
"9",9,0,0.097165991902834,0.0594059405940594,0,0.120879120879121,0,0.0967741935483871
"10",10,0,0.0805084745762712,0.0781758957654723,0,0.12568306010929,0,0.0843881856540084
"11",11,0,0.0881057268722467,0.0945945945945946,0,0.0714285714285714,0,0.087719298245614
"12",12,0,0.0909090909090909,0.0898876404494382,0,0.0962962962962963,0,0.0909090909090909
"13",13,0,0.116981132075472,0.0970873786407767,0,0.105555555555556,0,0.123134328358209
"14",14,0,0.147286821705426,0.0950819672131148,0,0.130434782608696,0,0.146153846153846
"15",15,0,0.0966542750929368,0.126126126126126,0,0.136094674556213,0,0.103321033210332
"16",16,0,0.1,0.100371747211896,0,0.153846153846154,0,0.1
"17",17,0,0.108527131782946,0.11214953271028,0,0.119617224880383,0,0.115384615384615
"18",18,0,0.102459016393443,0.100323624595469,0,0.115853658536585,0,0.0991735537190083
"19",19,0,0.100806451612903,0.0921501706484642,0,0.154285714285714,0,0.1
"20",20,0,0.100806451612903,0.0974025974025974,0,0.0629370629370629,0,0.101626016260163
"21",21,0,0.0745614035087719,0.0507246376811594,0,0.130434782608696,0,0.0745614035087719
"22",22,0,0.115079365079365,0.0950819672131148,0,0.0843373493975904,0,0.114624505928854
"23",23,0,0.0694444444444444,0.0547945205479452,0,0.0844155844155844,0,0.0769230769230769
"24",24,0,0.0988142292490119,0.0909090909090909,0,0.0867052023121387,0,0.0952380952380952
"25",25,0,0.0991735537190083,0.0771929824561404,0,0.0942028985507246,0,0.102459016393443
"26",26,0,0.0823529411764706,0.0769230769230769,0,0.103658536585366,0,0.0823529411764706
"27",27,0,0.136200716845878,0.0776699029126214,0,0.165829145728643,0,0.136200716845878
"28",28,0,0.0669456066945607,0.0798611111111111,0,0.0817610062893082,0,0.0669456066945607
"29",29,0,0.0434782608695652,0.0699300699300699,0,0.0851063829787234,0,0.0472103004291846
"30",30,0,0.0803571428571429,0.0738007380073801,0,0.103225806451613,0,0.0803571428571429
"31",31,0,0.114173228346457,0.0688524590163934,0,0.133663366336634,0,0.112
"32",32,0,0.11328125,0.0984615384615385,0,0.0982658959537572,0,0.11328125
"33",33,0,0.0729613733905579,0.0673400673400673,0,0.0903954802259887,0,0.0788381742738589
"34",34,0,0.0625,0.0538720538720539,0,0.049645390070922,0,0.068
"35",35,0,0.0901287553648069,0.0993377483443709,0,0.0802469135802469,0,0.0886075949367089
"36",36,0,0.110132158590308,0.0839160839160839,0,0.124137931034483,0,0.109170305676856
"37",37,0,0.0849420849420849,0.0629139072847682,0,0.0897435897435897,0,0.0849420849420849
"38",38,0,0.0570175438596491,0.105431309904153,0,0.128205128205128,0,0.0567685589519651
"39",39,0,0.1171875,0.0649350649350649,0,0.132275132275132,0,0.122137404580153
"40",40,0,0.102880658436214,0.118421052631579,0,0.130952380952381,0,0.102459016393443
"41",41,0,0.093984962406015,0.11038961038961,0,0.102564102564103,0,0.0943396226415094
"42",42,0,0.0681818181818182,0.0681003584229391,0,0.0633802816901408,0,0.0675675675675676
"43",43,0,0.0956175298804781,0.100323624595469,0,0.160714285714286,0,0.0887096774193548
"44",44,0,0.0701754385964912,0.0882352941176471,0,0.109826589595376,0,0.0707964601769911
"45",45,0,0.0720720720720721,0.0631578947368421,0,0.099290780141844,0,0.0720720720720721
"46",46,0,0.0711111111111111,0.0862619808306709,0,0.0983606557377049,0,0.0707964601769911
"47",47,0,0.123931623931624,0.0810810810810811,0,0.107142857142857,0,0.122881355932203
"48",48,0,0.0920502092050209,0.089171974522293,0,0.11731843575419,0,0.0909090909090909
"49",49,0,0.0969387755102041,0.0885608856088561,0,0.108527131782946,0,0.101010101010101
"50",50,0,0.0857142857142857,0.0742049469964664,0,0.12707182320442,0,0.0916334661354582
