"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","t_test"
"1",1,0,0.298,0.524,0,0.126,0,0.298
"2",2,0,0.344,0.514,0,0.234,0,0.346
"3",3,0,0.288,0.522,0,0.126,0,0.3
"4",4,0,0.352,0.518,0,0.218,0,0.36
"5",5,0,0.284,0.518,0,0.16,0,0.28
"6",6,0,0.29,0.488,0,0.154,0,0.29
"7",7,0,0.268,0.498,0,0.102,0,0.278
"8",8,0,0.304,0.496,0,0.172,0,0.304
"9",9,0,0.306,0.478,0,0.166,0,0.312
"10",10,0,0.274,0.504,0,0.136,0,0.274
"11",11,0,0.364,0.524,0,0.174,0,0.364
"12",12,0,0.324,0.532,0,0.162,0,0.328
"13",13,0,0.272,0.494,0,0.156,0,0.28
"14",14,0,0.326,0.534,0,0.186,0,0.326
"15",15,0,0.268,0.496,0,0.158,0,0.268
"16",16,0,0.246,0.5,0,0.114,0,0.246
"17",17,0,0.256,0.468,0,0.124,0,0.258
"18",18,0,0.294,0.502,0,0.144,0,0.29
"19",19,0,0.268,0.474,0,0.168,0,0.268
"20",20,0,0.34,0.582,0,0.184,0,0.34
"21",21,0,0.316,0.522,0,0.182,0,0.324
"22",22,0,0.318,0.562,0,0.194,0,0.324
"23",23,0,0.34,0.502,0,0.202,0,0.344
"24",24,0,0.292,0.504,0,0.094,0.002,0.292
"25",25,0,0.244,0.486,0,0.124,0,0.246
"26",26,0,0.348,0.538,0,0.188,0,0.35
"27",27,0,0.296,0.506,0,0.164,0,0.302
"28",28,0,0.276,0.498,0,0.122,0,0.278
"29",29,0,0.352,0.532,0,0.226,0,0.358
"30",30,0,0.346,0.544,0,0.206,0,0.346
"31",31,0,0.312,0.508,0,0.18,0,0.31
"32",32,0,0.288,0.498,0,0.146,0,0.288
"33",33,0,0.288,0.536,0,0.118,0,0.29
"34",34,0,0.288,0.482,0,0.15,0,0.288
"35",35,0,0.316,0.528,0,0.188,0,0.318
"36",36,0,0.326,0.494,0,0.176,0,0.326
"37",37,0,0.306,0.552,0,0.14,0,0.308
"38",38,0,0.258,0.474,0,0.174,0,0.264
"39",39,0,0.288,0.52,0,0.13,0,0.288
"40",40,0,0.286,0.516,0,0.144,0,0.286
"41",41,0,0.28,0.478,0,0.132,0,0.28
"42",42,0,0.332,0.566,0,0.214,0,0.332
"43",43,0,0.318,0.546,0,0.148,0,0.318
"44",44,0,0.306,0.504,0,0.198,0,0.314
"45",45,0,0.342,0.548,0,0.218,0,0.352
"46",46,0,0.31,0.53,0,0.19,0,0.328
"47",47,0,0.26,0.512,0,0.074,0,0.26
"48",48,0,0.342,0.52,0,0.2,0,0.342
"49",49,0,0.292,0.5,0,0.148,0,0.292
"50",50,0,0.34,0.534,0,0.216,0,0.338
