"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","t_test"
"1",1,0,0.096969696969697,0.0807017543859649,0,0.0307692307692308,0,0.096969696969697
"2",2,0,0.0601092896174863,0.0755395683453237,0,0.040983606557377,0,0.0597826086956522
"3",3,0,0.0886075949367089,0.074468085106383,0,0.0454545454545455,0,0.0909090909090909
"4",4,0,0.0974358974358974,0.075,0,0.0603448275862069,0,0.104477611940299
"5",5,0,0.0596026490066225,0.0683453237410072,0,0.0588235294117647,0,0.0604026845637584
"6",6,0,0.0645161290322581,0.125448028673835,0,0.0493827160493827,0,0.0705128205128205
"7",7,0,0.100671140939597,0.0743494423791822,0,0.0555555555555556,0,0.0974025974025974
"8",8,0,0.0318471337579618,0.0915750915750916,0,0,0,0.0379746835443038
"9",9,0,0.0496894409937888,0.0736434108527132,0,0.0459770114942529,0,0.048780487804878
"10",10,0,0.121794871794872,0.103202846975089,0,0.116883116883117,0,0.116129032258065
"11",11,0,0.129186602870813,0.102739726027397,0,0.0645161290322581,0,0.129186602870813
"12",12,0,0.104972375690608,0.0795847750865052,0,0.0689655172413793,0,0.103825136612022
"13",13,0,0.0993377483443709,0.0749063670411985,0,0.123595505617978,0,0.102564102564103
"14",14,0,0.0790960451977401,0.104026845637584,0,0.03125,0,0.0790960451977401
"15",15,0,0.118421052631579,0.114285714285714,0,0.0125,0,0.118421052631579
"16",16,0,0.075187969924812,0.12280701754386,0,0.0655737704918033,0,0.075187969924812
"17",17,0,0.079136690647482,0.075098814229249,0,0.0158730158730159,0,0.0785714285714286
"18",18,0,0.130177514792899,0.103571428571429,0,0.04,0,0.131736526946108
"19",19,0,0.0821917808219178,0.105660377358491,0,0.0561797752808989,0,0.0884353741496599
"20",20,0,0.0957446808510638,0.090625,0,0.0707070707070707,0,0.0957446808510638
"21",21,0,0.0705882352941176,0.074468085106383,0,0.0714285714285714,0,0.0795454545454545
"22",22,0,0.0862068965517241,0.10223642172524,0,0.0396039603960396,0,0.0847457627118644
"23",23,0,0.0760869565217391,0.0905797101449275,0,0.0194174757281553,0,0.0851063829787234
"24",24,0,0.051948051948052,0.0902527075812274,0,0.0408163265306122,0,0.0580645161290323
"25",25,0,0.115942028985507,0.0898876404494382,0,0.0606060606060606,0,0.115107913669065
"26",26,0,0.0695187165775401,0.123778501628664,0,0.0784313725490196,0,0.0740740740740741
"27",27,0,0.0573248407643312,0.0833333333333333,0,0.0120481927710843,0,0.062111801242236
"28",28,0,0.08,0.120141342756184,0,0.0161290322580645,0,0.0794701986754967
"29",29,0,0.0833333333333333,0.10738255033557,0,0.0258620689655172,0,0.095959595959596
"30",30,0,0.0846560846560847,0.108196721311475,0,0.0283018867924528,0,0.0846560846560847
"31",31,0,0.0769230769230769,0.108771929824561,0,0.0425531914893617,0,0.0773809523809524
"32",32,0,0.0463576158940397,0.120141342756184,0,0.0266666666666667,0,0.0463576158940397
"33",33,0,0.0463576158940397,0.0596491228070175,0,0,0,0.0522875816993464
"34",34,0,0.111111111111111,0.100746268656716,0,0.0740740740740741,0,0.111111111111111
"35",35,0,0.0813953488372093,0.0769230769230769,0,0.06,0,0.0862068965517241
"36",36,0,0.0790960451977401,0.105072463768116,0,0.0638297872340425,0,0.0893854748603352
"37",37,0,0.0838323353293413,0.0921052631578947,0,0.0540540540540541,0,0.0887573964497041
"38",38,0,0.0583941605839416,0.0595238095238095,0,0.0543478260869565,0,0.0571428571428571
"39",39,0,0.116564417177914,0.112627986348123,0,0.0579710144927536,0,0.116564417177914
"40",40,0,0.10062893081761,0.0785714285714286,0,0.0649350649350649,0,0.10062893081761
"41",41,0,0.0789473684210526,0.0877862595419847,0,0.0149253731343284,0,0.0849673202614379
"42",42,0,0.135416666666667,0.092948717948718,0,0.108333333333333,0,0.135416666666667
"43",43,0,0.0701754385964912,0.0714285714285714,0,0.038961038961039,0,0.0701754385964912
"44",44,0,0.11046511627907,0.0666666666666667,0,0.0660377358490566,0,0.112994350282486
"45",45,0,0.145,0.118971061093248,0,0.076271186440678,0,0.14975845410628
"46",46,0,0.03125,0.0830449826989619,0,0.0306122448979592,0,0.0465116279069767
"47",47,0,0.0780141843971631,0.072463768115942,0,0.075,0,0.0780141843971631
"48",48,0,0.0756756756756757,0.103448275862069,0,0.0384615384615385,0,0.0756756756756757
"49",49,0,0.0759493670886076,0.0875912408759124,0,0.038961038961039,0,0.0759493670886076
"50",50,0,0.0810810810810811,0.0887372013651877,0,0.0357142857142857,0,0.0815217391304348
