"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t","EV_NPMLE"
"1",1,0,0,0,0,0,0,0,0.54
"2",2,0,0,0,0,0,0,0,0.524
"3",3,0,0,0,0,0,0,0,0.554
"4",4,0,0,0,0,0,0,0,0.544
"5",5,0,0,0,0,0,0,0,0.502
"6",6,0,0,0,0,0,0,0,0.532
"7",7,0,0,0,0,0,0,0,0.58
"8",8,0,0,0,0,0,0,0,0.508
"9",9,0,0,0,0,0,0,0,0.534
"10",10,0,0,0,0,0,0,0,0.534
"11",11,0,0,0,0,0,0,0,0.524
"12",12,0,0,0,0,0,0,0,0.542
"13",13,0,0,0,0,0,0,0,0.524
"14",14,0,0,0,0,0,0,0,0.498
"15",15,0,0,0,0,0,0,0,0.53
"16",16,0,0,0,0,0,0,0,0.522
"17",17,0,0,0,0,0,0,0,0.504
"18",18,0,0,0,0,0,0,0,0.532
"19",19,0,0,0,0,0,0,0,0.576
"20",20,0,0,0,0,0,0,0,0.522
"21",21,0,0,0,0,0,0,0,0.516
"22",22,0,0,0,0,0,0,0,0.538
"23",23,0,0,0,0,0,0,0,0.496
"24",24,0,0,0,0,0,0,0,0.51
"25",25,0,0,0,0,0,0,0,0.502
"26",26,0,0,0,0,0,0,0,0.548
"27",27,0,0,0,0,0,0,0,0.544
"28",28,0,0,0,0,0,0,0,0.552
"29",29,0,0,0,0,0,0,0,0.532
"30",30,0,0,0,0,0,0,0,0.492
"31",31,0,0,0,0,0,0,0,0.526
"32",32,0,0,0,0,0,0,0,0.56
"33",33,0,0,0,0,0,0,0,0.502
"34",34,0,0,0,0,0,0,0,0.514
"35",35,0,0,0,0,0,0,0,0.496
"36",36,0,0,0,0,0,0,0,0.534
"37",37,0,0,0,0,0,0,0,0.576
"38",38,0,0,0,0,0,0,0,0.52
"39",39,0,0,0,0,0,0,0,0.518
"40",40,0,0,0,0,0,0,0,0.544
"41",41,0,0,0,0,0,0,0,0.558
"42",42,0,0,0,0,0,0,0,0.488
"43",43,0,0,0,0,0,0,0,0.504
"44",44,0,0,0,0,0,0,0,0.522
"45",45,0,0,0,0,0,0,0,0.492
"46",46,0,0,0,0,0,0,0,0.58
"47",47,0,0,0,0,0,0,0,0.546
"48",48,0,0,0,0,0,0,0,0.554
"49",49,0,0,0,0,0,0,0,0.522
"50",50,0,0,0,0,0,0,0,0.546
