"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t","EV_NPMLE"
"1",1,0,0,0,0,0,0,0,0.592
"2",2,0,0,0,0,0,0,0,0.59
"3",3,0,0,0,0,0,0,0,0.572
"4",4,0,0,0,0,0,0,0,0.574
"5",5,0,0,0,0,0,0,0,0.606
"6",6,0,0,0,0,0,0,0,0.582
"7",7,0,0,0,0,0,0,0,0.63
"8",8,0,0,0,0,0,0,0,0.58
"9",9,0,0,0,0,0,0,0,0.614
"10",10,0,0,0,0,0,0,0,0.552
"11",11,0,0,0,0,0,0,0,0.624
"12",12,0,0,0,0,0,0,0,0.566
"13",13,0,0,0,0,0,0,0,0.618
"14",14,0,0,0,0,0,0,0,0.624
"15",15,0,0,0,0,0,0,0,0.598
"16",16,0,0,0,0,0,0,0,0.598
"17",17,0,0,0,0,0,0,0,0.636
"18",18,0,0,0,0,0,0,0,0.598
"19",19,0,0,0,0,0,0,0,0.63
"20",20,0,0,0,0,0,0,0,0.614
"21",21,0,0,0,0,0,0,0,0.614
"22",22,0,0,0,0,0,0,0,0.596
"23",23,0,0,0,0,0,0,0,0.608
"24",24,0,0,0,0,0,0,0,0.582
"25",25,0,0,0,0,0,0,0,0.602
"26",26,0,0,0,0,0,0,0,0.626
"27",27,0,0,0,0,0,0,0,0.598
"28",28,0,0,0,0,0,0,0,0.62
"29",29,0,0,0,0,0,0,0,0.63
"30",30,0,0,0,0,0,0,0,0.582
"31",31,0,0,0,0,0,0,0,0.65
"32",32,0,0,0,0,0,0,0,0.6
"33",33,0,0,0,0,0,0,0,0.628
"34",34,0,0,0,0,0,0,0,0.614
"35",35,0,0,0,0,0,0,0,0.668
"36",36,0,0,0,0,0,0,0,0.598
"37",37,0,0,0,0,0,0,0,0.608
"38",38,0,0,0,0,0,0,0,0.566
"39",39,0,0,0,0,0,0,0,0.596
"40",40,0,0,0,0,0,0,0,0.616
"41",41,0,0,0,0,0,0,0,0.568
"42",42,0,0,0,0,0,0,0,0.566
"43",43,0,0,0,0,0,0,0,0.604
"44",44,0,0,0,0,0,0,0,0.606
"45",45,0,0,0,0,0,0,0,0.608
"46",46,0,0,0,0,0,0,0,0.574
"47",47,0,0,0,0,0,0,0,0.592
"48",48,0,0,0,0,0,0,0,0.576
"49",49,0,0,0,0,0,0,0,0.594
"50",50,0,0,0,0,0,0,0,0.596
