"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t"
"1",1,0,0.55,0.626,0,0.516,0.38,0.55
"2",2,0,0.47,0.588,0,0.428,0.262,0.47
"3",3,0,0.52,0.614,0,0.478,0.346,0.518
"4",4,0,0.536,0.622,0,0.492,0.358,0.538
"5",5,0,0.554,0.61,0,0.514,0.402,0.552
"6",6,0,0.5,0.584,0,0.472,0.332,0.498
"7",7,0,0.506,0.586,0,0.458,0.296,0.506
"8",8,0,0.55,0.614,0,0.498,0.372,0.554
"9",9,0,0.496,0.602,0,0.458,0.314,0.496
"10",10,0,0.518,0.6,0,0.472,0.33,0.518
"11",11,0,0.492,0.566,0,0.456,0.27,0.494
"12",12,0,0.468,0.546,0,0.45,0.32,0.468
"13",13,0,0.55,0.612,0,0.508,0.35,0.548
"14",14,0,0.59,0.654,0,0.56,0.388,0.59
"15",15,0,0.52,0.596,0,0.484,0.32,0.522
"16",16,0,0.444,0.522,0,0.396,0.248,0.444
"17",17,0,0.514,0.588,0,0.45,0.302,0.514
"18",18,0,0.498,0.582,0,0.46,0.304,0.498
"19",19,0,0.524,0.612,0,0.506,0.33,0.524
"20",20,0,0.574,0.63,0,0.526,0.406,0.574
"21",21,0,0.546,0.608,0,0.52,0.374,0.546
"22",22,0,0.544,0.63,0,0.51,0.364,0.546
"23",23,0,0.512,0.588,0,0.478,0.332,0.512
"24",24,0,0.494,0.586,0,0.456,0.278,0.494
"25",25,0,0.534,0.624,0,0.502,0.342,0.534
"26",26,0,0.474,0.568,0,0.446,0.304,0.476
"27",27,0,0.532,0.596,0,0.486,0.312,0.536
"28",28,0,0.54,0.63,0,0.494,0.328,0.538
"29",29,0,0.542,0.644,0,0.512,0.372,0.542
"30",30,0,0.546,0.614,0,0.508,0.318,0.55
"31",31,0,0.524,0.606,0,0.504,0.324,0.524
"32",32,0,0.5,0.574,0,0.464,0.332,0.5
"33",33,0,0.494,0.58,0,0.434,0.268,0.496
"34",34,0,0.508,0.62,0,0.474,0.324,0.51
"35",35,0,0.522,0.596,0,0.498,0.332,0.522
"36",36,0,0.532,0.622,0,0.5,0.33,0.532
"37",37,0,0.522,0.592,0,0.468,0.29,0.522
"38",38,0,0.536,0.614,0,0.472,0.322,0.536
"39",39,0,0.514,0.616,0,0.49,0.346,0.514
"40",40,0,0.532,0.582,0,0.482,0.322,0.532
"41",41,0,0.492,0.55,0,0.464,0.306,0.492
"42",42,0,0.56,0.616,0,0.528,0.386,0.56
"43",43,0,0.496,0.576,0,0.458,0.284,0.494
"44",44,0,0.542,0.662,0,0.524,0.366,0.544
"45",45,0,0.532,0.614,0,0.5,0.354,0.532
"46",46,0,0.456,0.554,0,0.422,0.298,0.456
"47",47,0,0.502,0.57,0,0.47,0.272,0.502
"48",48,0,0.534,0.6,0,0.494,0.336,0.534
"49",49,0,0.524,0.58,0,0.488,0.276,0.524
"50",50,0,0.562,0.63,0,0.524,0.358,0.562
