"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t","EV_NPMLE"
"1",1,0,0,0,0,0,0,0,0.107969151670951
"2",2,0,0,0,0,0,0,0,0.128504672897196
"3",3,0,0,0,0,0,0,0,0.133501259445844
"4",4,0,0,0,0,0,0,0,0.124694376528117
"5",5,0,0,0,0,0,0,0,0.121654501216545
"6",6,0,0,0,0,0,0,0,0.12807881773399
"7",7,0,0,0,0,0,0,0,0.140740740740741
"8",8,0,0,0,0,0,0,0,0.116751269035533
"9",9,0,0,0,0,0,0,0,0.131979695431472
"10",10,0,0,0,0,0,0,0,0.101694915254237
"11",11,0,0,0,0,0,0,0,0.120481927710843
"12",12,0,0,0,0,0,0,0,0.130641330166271
"13",13,0,0,0,0,0,0,0,0.112980769230769
"14",14,0,0,0,0,0,0,0,0.144254278728606
"15",15,0,0,0,0,0,0,0,0.136258660508083
"16",16,0,0,0,0,0,0,0,0.142168674698795
"17",17,0,0,0,0,0,0,0,0.131707317073171
"18",18,0,0,0,0,0,0,0,0.126550868486352
"19",19,0,0,0,0,0,0,0,0.113253012048193
"20",20,0,0,0,0,0,0,0,0.134663341645885
"21",21,0,0,0,0,0,0,0,0.144230769230769
"22",22,0,0,0,0,0,0,0,0.111979166666667
"23",23,0,0,0,0,0,0,0,0.157534246575342
"24",24,0,0,0,0,0,0,0,0.122596153846154
"25",25,0,0,0,0,0,0,0,0.144208037825059
"26",26,0,0,0,0,0,0,0,0.123711340206186
"27",27,0,0,0,0,0,0,0,0.14123006833713
"28",28,0,0,0,0,0,0,0,0.14385150812065
"29",29,0,0,0,0,0,0,0,0.111386138613861
"30",30,0,0,0,0,0,0,0,0.134146341463415
"31",31,0,0,0,0,0,0,0,0.121827411167513
"32",32,0,0,0,0,0,0,0,0.121518987341772
"33",33,0,0,0,0,0,0,0,0.0784810126582278
"34",34,0,0,0,0,0,0,0,0
"35",35,0,0,0,0,0,0,0,0.106280193236715
"36",36,0,0,0,0,0,0,0,0.117794486215539
"37",37,0,0,0,0,0,0,0,0.104859335038363
"38",38,0,0,0,0,0,0,0,0.132250580046404
"39",39,0,0,0,0,0,0,0,0.0920716112531969
"40",40,0,0,0,0,0,0,0,0.156398104265403
"41",41,0,0,0,0,0,0,0,0.14572864321608
"42",42,0,0,0,0,0,0,0,0.113350125944584
"43",43,0,0,0,0,0,0,0,0.0989583333333333
"44",44,0,0,0,0,0,0,0,0.1425
"45",45,0,0,0,0,0,0,0,0.121588089330025
"46",46,0,0,0,0,0,0,0,0.114754098360656
"47",47,0,0,0,0,0,0,0,0.140388768898488
"48",48,0,0,0,0,0,0,0,0.164785553047404
"49",49,0,0,0,0,0,0,0,0.135071090047393
"50",50,0,0,0,0,0,0,0,0.114713216957606
