"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t","EV_NPMLE","EV2_NPMLE"
"1",1,0,0,0,0,0,0,0,0,0.754
"2",2,0,0,0,0,0,0,0,0,0.746
"3",3,0,0,0,0,0,0,0,0,0.754
"4",4,0,0,0,0,0,0,0,0,0.738
"5",5,0,0,0,0,0,0,0,0,0.766
"6",6,0,0,0,0,0,0,0,0,0.786
"7",7,0,0,0,0,0,0,0,0,0.756
"8",8,0,0,0,0,0,0,0,0,0.76
"9",9,0,0,0,0,0,0,0,0,0.744
"10",10,0,0,0,0,0,0,0,0,0.756
"11",11,0,0,0,0,0,0,0,0,0.726
"12",12,0,0,0,0,0,0,0,0,0.734
"13",13,0,0,0,0,0,0,0,0,0.77
"14",14,0,0,0,0,0,0,0,0,0.73
"15",15,0,0,0,0,0,0,0,0,0.762
"16",16,0,0,0,0,0,0,0,0,0.77
"17",17,0,0,0,0,0,0,0,0,0.726
"18",18,0,0,0,0,0,0,0,0,0.728
"19",19,0,0,0,0,0,0,0,0,0.766
"20",20,0,0,0,0,0,0,0,0,0.744
"21",21,0,0,0,0,0,0,0,0,0.742
"22",22,0,0,0,0,0,0,0,0,0.742
"23",23,0,0,0,0,0,0,0,0,0.75
"24",24,0,0,0,0,0,0,0,0,0.728
"25",25,0,0,0,0,0,0,0,0,0.768
"26",26,0,0,0,0,0,0,0,0,0.76
"27",27,0,0,0,0,0,0,0,0,0.748
"28",28,0,0,0,0,0,0,0,0,0.736
"29",29,0,0,0,0,0,0,0,0,0.728
"30",30,0,0,0,0,0,0,0,0,0.742
"31",31,0,0,0,0,0,0,0,0,0.736
"32",32,0,0,0,0,0,0,0,0,0.764
"33",33,0,0,0,0,0,0,0,0,0.76
"34",34,0,0,0,0,0,0,0,0,0.75
"35",35,0,0,0,0,0,0,0,0,0.726
"36",36,0,0,0,0,0,0,0,0,0.732
"37",37,0,0,0,0,0,0,0,0,0.728
"38",38,0,0,0,0,0,0,0,0,0.728
"39",39,0,0,0,0,0,0,0,0,0.762
"40",40,0,0,0,0,0,0,0,0,0.766
"41",41,0,0,0,0,0,0,0,0,0.744
"42",42,0,0,0,0,0,0,0,0,0.742
"43",43,0,0,0,0,0,0,0,0,0.744
"44",44,0,0,0,0,0,0,0,0,0.754
"45",45,0,0,0,0,0,0,0,0,0.784
"46",46,0,0,0,0,0,0,0,0,0.758
"47",47,0,0,0,0,0,0,0,0,0.734
"48",48,0,0,0,0,0,0,0,0,0.73
"49",49,0,0,0,0,0,0,0,0,0.784
"50",50,0,0,0,0,0,0,0,0,0.788
