"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","t_test","EV_NPMLE","EV2_NPMLE","Welch_NPMLE"
"1",1,0,0,0,0,0,0,0,0,0,0.0695187165775401
"2",2,0,0,0,0,0,0,0,0,0,0.101781170483461
"3",3,0,0,0,0,0,0,0,0,0,0.0820512820512821
"4",4,0,0,0,0,0,0,0,0,0,0.108641975308642
"5",5,0,0,0,0,0,0,0,0,0,0.0997375328083989
"6",6,0,0,0,0,0,0,0,0,0,0.0754716981132075
"7",7,0,0,0,0,0,0,0,0,0,0.0948509485094851
"8",8,0,0,0,0,0,0,0,0,0,0.0911458333333333
"9",9,0,0,0,0,0,0,0,0,0,0.103359173126615
"10",10,0,0,0,0,0,0,0,0,0,0.104
"11",11,0,0,0,0,0,0,0,0,0,0.10594315245478
"12",12,0,0,0,0,0,0,0,0,0,0.0981432360742706
"13",13,0,0,0,0,0,0,0,0,0,0.0543478260869565
"14",14,0,0,0,0,0,0,0,0,0,0.0904392764857881
"15",15,0,0,0,0,0,0,0,0,0,0.0687679083094556
"16",16,0,0,0,0,0,0,0,0,0,0.0981432360742706
"17",17,0,0,0,0,0,0,0,0,0,0.0991957104557641
"18",18,0,0,0,0,0,0,0,0,0,0.0894308943089431
"19",19,0,0,0,0,0,0,0,0,0,0.102564102564103
"20",20,0,0,0,0,0,0,0,0,0,0.0876712328767123
"21",21,0,0,0,0,0,0,0,0,0,0.0806451612903226
"22",22,0,0,0,0,0,0,0,0,0,0.0694444444444444
"23",23,0,0,0,0,0,0,0,0,0,0.0737704918032787
"24",24,0,0,0,0,0,0,0,0,0,0.0882352941176471
"25",25,0,0,0,0,0,0,0,0,0,0.0826446280991736
"26",26,0,0,0,0,0,0,0,0,0,0.0698324022346369
"27",27,0,0,0,0,0,0,0,0,0,0.0725806451612903
"28",28,0,0,0,0,0,0,0,0,0,0.0814606741573034
"29",29,0,0,0,0,0,0,0,0,0,0.0636604774535809
"30",30,0,0,0,0,0,0,0,0,0,0.0980926430517711
"31",31,0,0,0,0,0,0,0,0,0,0.101369863013699
"32",32,0,0,0,0,0,0,0,0,0,0.113207547169811
"33",33,0,0,0,0,0,0,0,0,0,0.0795755968169761
"34",34,0,0,0,0,0,0,0,0,0,0.0952380952380952
"35",35,0,0,0,0,0,0,0,0,0,0.0678851174934726
"36",36,0,0,0,0,0,0,0,0,0,0.111959287531807
"37",37,0,0,0,0,0,0,0,0,0,0.0803324099722992
"38",38,0,0,0,0,0,0,0,0,0,0.11142061281337
"39",39,0,0,0,0,0,0,0,0,0,0.0722543352601156
"40",40,0,0,0,0,0,0,0,0,0,0.114355231143552
"41",41,0,0,0,0,0,0,0,0,0,0.0846153846153846
"42",42,0,0,0,0,0,0,0,0,0,0.102981029810298
"43",43,0,0,0,0,0,0,0,0,0,0.0850515463917526
"44",44,0,0,0,0,0,0,0,0,0,0.0981432360742706
"45",45,0,0,0,0,0,0,0,0,0,0.0923913043478261
"46",46,0,0,0,0,0,0,0,0,0,0.0748129675810474
"47",47,0,0,0,0,0,0,0,0,0,0.102857142857143
"48",48,0,0,0,0,0,0,0,0,0,0.101827676240209
"49",49,0,0,0,0,0,0,0,0,0,0.115485564304462
"50",50,0,0,0,0,0,0,0,0,0,0.0925925925925926
