"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F"
"1",1,0,0,0,0,0,0.616
"2",2,0,0,0,0,0,0.598
"3",3,0,0,0,0,0,0.648
"4",4,0,0,0,0,0,0.638
"5",5,0,0,0,0,0,0.638
"6",6,0,0,0,0,0,0.634
"7",7,0,0,0,0,0,0.64
"8",8,0,0,0,0,0,0.608
"9",9,0,0,0,0,0,0.598
"10",10,0,0,0,0,0,0.62
"11",11,0,0,0,0,0,0.62
"12",12,0,0,0,0,0,0.61
"13",13,0,0,0,0,0,0.628
"14",14,0,0,0,0,0,0.64
"15",15,0,0,0,0,0,0.612
"16",16,0,0,0,0,0,0.644
"17",17,0,0,0,0,0,0.578
"18",18,0,0,0,0,0,0.63
"19",19,0,0,0,0,0,0.612
"20",20,0,0,0,0,0,0.614
"21",21,0,0,0,0,0,0.636
"22",22,0,0,0,0,0,0.606
"23",23,0,0,0,0,0,0.614
"24",24,0,0,0,0,0,0.694
"25",25,0,0,0,0,0,0.59
"26",26,0,0,0,0,0,0.646
"27",27,0,0,0,0,0,0.612
"28",28,0,0,0,0,0,0.616
"29",29,0,0,0,0,0,0.63
"30",30,0,0,0,0,0,0.574
"31",31,0,0,0,0,0,0.656
"32",32,0,0,0,0,0,0.64
"33",33,0,0,0,0,0,0.648
"34",34,0,0,0,0,0,0.588
"35",35,0,0,0,0,0,0.602
"36",36,0,0,0,0,0,0.608
"37",37,0,0,0,0,0,0.618
"38",38,0,0,0,0,0,0.618
"39",39,0,0,0,0,0,0.59
"40",40,0,0,0,0,0,0.634
"41",41,0,0,0,0,0,0.682
"42",42,0,0,0,0,0,0.618
"43",43,0,0,0,0,0,0.618
"44",44,0,0,0,0,0,0.618
"45",45,0,0,0,0,0,0.628
"46",46,0,0,0,0,0,0.608
"47",47,0,0,0,0,0,0.652
"48",48,0,0,0,0,0,0.622
"49",49,0,0,0,0,0,0.606
"50",50,0,0,0,0,0,0.62
