"","Algorithm","Power","FDR"
"1","1D_NPMLE",0.51284,0.088892583164312
"2","2D_NPMLE",0.59236,0.0845769938753437
"3","Welch",0.45036,0.0743838068090594
"4","B_F",0.20836,0.00977798805796368
"5","Pooled_t",0.51336,0.0892963163141753
