"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t"
"1",1,0,0.73,0.734,0,0.726,0.688,0.73
"2",2,0,0.682,0.696,0,0.658,0.624,0.682
"3",3,0,0.658,0.68,0,0.636,0.602,0.658
"4",4,0,0.698,0.7,0,0.698,0.656,0.698
"5",5,0,0.674,0.702,0,0.65,0.622,0.674
"6",6,0,0.676,0.708,0,0.656,0.608,0.676
"7",7,0,0.722,0.738,0,0.7,0.664,0.722
"8",8,0,0.656,0.668,0,0.642,0.608,0.656
"9",9,0,0.692,0.724,0,0.676,0.63,0.692
"10",10,0,0.732,0.758,0,0.716,0.686,0.732
"11",11,0,0.712,0.714,0,0.678,0.636,0.71
"12",12,0,0.692,0.71,0,0.664,0.616,0.692
"13",13,0,0.674,0.696,0,0.668,0.608,0.674
"14",14,0,0.69,0.696,0,0.66,0.634,0.69
"15",15,0,0.672,0.694,0,0.672,0.642,0.672
"16",16,0,0.698,0.718,0,0.694,0.652,0.698
"17",17,0,0.704,0.716,0,0.678,0.644,0.702
"18",18,0,0.69,0.698,0,0.674,0.616,0.69
"19",19,0,0.682,0.702,0,0.664,0.622,0.682
"20",20,0,0.682,0.718,0,0.666,0.632,0.68
"21",21,0,0.694,0.702,0,0.676,0.626,0.694
"22",22,0,0.66,0.698,0,0.642,0.61,0.66
"23",23,0,0.704,0.736,0,0.692,0.66,0.706
"24",24,0,0.698,0.708,0,0.674,0.638,0.696
"25",25,0,0.678,0.716,0,0.67,0.63,0.678
"26",26,0,0.686,0.702,0,0.68,0.634,0.686
"27",27,0,0.69,0.718,0,0.684,0.648,0.69
"28",28,0,0.67,0.69,0,0.65,0.604,0.67
"29",29,0,0.698,0.718,0,0.682,0.626,0.698
"30",30,0,0.694,0.71,0,0.676,0.636,0.694
"31",31,0,0.692,0.706,0,0.67,0.634,0.692
"32",32,0,0.692,0.708,0,0.676,0.628,0.69
"33",33,0,0.736,0.746,0,0.708,0.658,0.736
"34",34,0,0.714,0.732,0,0.688,0.632,0.714
"35",35,0,0.738,0.754,0,0.72,0.672,0.738
"36",36,0,0.728,0.74,0,0.714,0.684,0.728
"37",37,0,0.704,0.712,0,0.674,0.642,0.704
"38",38,0,0.718,0.726,0,0.702,0.672,0.72
"39",39,0,0.704,0.728,0,0.682,0.63,0.704
"40",40,0,0.708,0.71,0,0.682,0.636,0.708
"41",41,0,0.688,0.712,0,0.686,0.652,0.686
"42",42,0,0.694,0.706,0,0.68,0.634,0.696
"43",43,0,0.666,0.69,0,0.648,0.618,0.666
"44",44,0,0.688,0.74,0,0.684,0.642,0.688
"45",45,0,0.678,0.708,0,0.666,0.622,0.678
"46",46,0,0.684,0.702,0,0.668,0.634,0.684
"47",47,0,0.654,0.678,0,0.638,0.598,0.654
"48",48,0,0.646,0.666,0,0.634,0.59,0.646
"49",49,0,0.672,0.69,0,0.656,0.626,0.672
"50",50,0,0.716,0.726,0,0.692,0.662,0.716
