"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","t_test","EV_NPMLE","EV2_NPMLE","Welch_NPMLE"
"1",1,0,0,0,0,0,0,0,0,0,0.704
"2",2,0,0,0,0,0,0,0,0,0,0.686
"3",3,0,0,0,0,0,0,0,0,0,0.688
"4",4,0,0,0,0,0,0,0,0,0,0.652
"5",5,0,0,0,0,0,0,0,0,0,0.628
"6",6,0,0,0,0,0,0,0,0,0,0.696
"7",7,0,0,0,0,0,0,0,0,0,0.662
"8",8,0,0,0,0,0,0,0,0,0,0.646
"9",9,0,0,0,0,0,0,0,0,0,0.656
"10",10,0,0,0,0,0,0,0,0,0,0.688
"11",11,0,0,0,0,0,0,0,0,0,0.624
"12",12,0,0,0,0,0,0,0,0,0,0.668
"13",13,0,0,0,0,0,0,0,0,0,0.664
"14",14,0,0,0,0,0,0,0,0,0,0.706
"15",15,0,0,0,0,0,0,0,0,0,0.666
"16",16,0,0,0,0,0,0,0,0,0,0.696
"17",17,0,0,0,0,0,0,0,0,0,0.682
"18",18,0,0,0,0,0,0,0,0,0,0.636
"19",19,0,0,0,0,0,0,0,0,0,0.652
"20",20,0,0,0,0,0,0,0,0,0,0.666
"21",21,0,0,0,0,0,0,0,0,0,0.698
"22",22,0,0,0,0,0,0,0,0,0,0.634
"23",23,0,0,0,0,0,0,0,0,0,0.712
"24",24,0,0,0,0,0,0,0,0,0,0.632
"25",25,0,0,0,0,0,0,0,0,0,0.676
"26",26,0,0,0,0,0,0,0,0,0,0.672
"27",27,0,0,0,0,0,0,0,0,0,0.634
"28",28,0,0,0,0,0,0,0,0,0,0.608
"29",29,0,0,0,0,0,0,0,0,0,0.648
"30",30,0,0,0,0,0,0,0,0,0,0.65
"31",31,0,0,0,0,0,0,0,0,0,0.652
"32",32,0,0,0,0,0,0,0,0,0,0.7
"33",33,0,0,0,0,0,0,0,0,0,0.632
"34",34,0,0,0,0,0,0,0,0,0,0.688
"35",35,0,0,0,0,0,0,0,0,0,0.64
"36",36,0,0,0,0,0,0,0,0,0,0.652
"37",37,0,0,0,0,0,0,0,0,0,0.722
"38",38,0,0,0,0,0,0,0,0,0,0.692
"39",39,0,0,0,0,0,0,0,0,0,0.642
"40",40,0,0,0,0,0,0,0,0,0,0.652
"41",41,0,0,0,0,0,0,0,0,0,0.632
"42",42,0,0,0,0,0,0,0,0,0,0.668
"43",43,0,0,0,0,0,0,0,0,0,0.636
"44",44,0,0,0,0,0,0,0,0,0,0.678
"45",45,0,0,0,0,0,0,0,0,0,0.688
"46",46,0,0,0,0,0,0,0,0,0,0.656
"47",47,0,0,0,0,0,0,0,0,0,0.672
"48",48,0,0,0,0,0,0,0,0,0,0.644
"49",49,0,0,0,0,0,0,0,0,0,0.684
"50",50,0,0,0,0,0,0,0,0,0,0.65
