"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","t_test","EV_NPMLE","EV2_NPMLE","Welch_NPMLE"
"1",1,0,0,0,0,0,0,0,0,0,0.0857142857142857
"2",2,0,0,0,0,0,0,0,0,0,0.0877659574468085
"3",3,0,0,0,0,0,0,0,0,0,0.0652173913043478
"4",4,0,0,0,0,0,0,0,0,0,0.0712250712250712
"5",5,0,0,0,0,0,0,0,0,0,0.102857142857143
"6",6,0,0,0,0,0,0,0,0,0,0.072
"7",7,0,0,0,0,0,0,0,0,0,0.0956284153005464
"8",8,0,0,0,0,0,0,0,0,0,0.0823863636363636
"9",9,0,0,0,0,0,0,0,0,0,0.0964187327823691
"10",10,0,0,0,0,0,0,0,0,0,0.0875331564986737
"11",11,0,0,0,0,0,0,0,0,0,0.0823529411764706
"12",12,0,0,0,0,0,0,0,0,0,0.0722222222222222
"13",13,0,0,0,0,0,0,0,0,0,0.0828729281767956
"14",14,0,0,0,0,0,0,0,0,0,0.108585858585859
"15",15,0,0,0,0,0,0,0,0,0,0.0951086956521739
"16",16,0,0,0,0,0,0,0,0,0,0.0842105263157895
"17",17,0,0,0,0,0,0,0,0,0,0.0833333333333333
"18",18,0,0,0,0,0,0,0,0,0,0.094017094017094
"19",19,0,0,0,0,0,0,0,0,0,0.121293800539084
"20",20,0,0,0,0,0,0,0,0,0,0.1
"21",21,0,0,0,0,0,0,0,0,0,0.10969387755102
"22",22,0,0,0,0,0,0,0,0,0,0.0811594202898551
"23",23,0,0,0,0,0,0,0,0,0,0.0918367346938776
"24",24,0,0,0,0,0,0,0,0,0,0.0787172011661808
"25",25,0,0,0,0,0,0,0,0,0,0.068870523415978
"26",26,0,0,0,0,0,0,0,0,0,0.106382978723404
"27",27,0,0,0,0,0,0,0,0,0,0.0968660968660969
"28",28,0,0,0,0,0,0,0,0,0,0.0731707317073171
"29",29,0,0,0,0,0,0,0,0,0,0.0769230769230769
"30",30,0,0,0,0,0,0,0,0,0,0.104683195592287
"31",31,0,0,0,0,0,0,0,0,0,0.106849315068493
"32",32,0,0,0,0,0,0,0,0,0,0.0956072351421189
"33",33,0,0,0,0,0,0,0,0,0,0.0623145400593472
"34",34,0,0,0,0,0,0,0,0,0,0.106493506493506
"35",35,0,0,0,0,0,0,0,0,0,0.0804597701149425
"36",36,0,0,0,0,0,0,0,0,0,0.0893854748603352
"37",37,0,0,0,0,0,0,0,0,0,0.0767263427109974
"38",38,0,0,0,0,0,0,0,0,0,0.0966057441253264
"39",39,0,0,0,0,0,0,0,0,0,0.0775862068965517
"40",40,0,0,0,0,0,0,0,0,0,0.114130434782609
"41",41,0,0,0,0,0,0,0,0,0,0.0840579710144927
"42",42,0,0,0,0,0,0,0,0,0,0.109333333333333
"43",43,0,0,0,0,0,0,0,0,0,0.104225352112676
"44",44,0,0,0,0,0,0,0,0,0,0.0887096774193548
"45",45,0,0,0,0,0,0,0,0,0,0.0702702702702703
"46",46,0,0,0,0,0,0,0,0,0,0.0888888888888889
"47",47,0,0,0,0,0,0,0,0,0,0.0769230769230769
"48",48,0,0,0,0,0,0,0,0,0,0.0955056179775281
"49",49,0,0,0,0,0,0,0,0,0,0.0904255319148936
"50",50,0,0,0,0,0,0,0,0,0,0.0740740740740741
