"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t"
"1",1,0,0.708,0.724,0,0.678,0.622,0.708
"2",2,0,0.676,0.694,0,0.666,0.61,0.676
"3",3,0,0.636,0.636,0,0.624,0.572,0.636
"4",4,0,0.662,0.704,0,0.634,0.61,0.662
"5",5,0,0.68,0.698,0,0.664,0.626,0.68
"6",6,0,0.686,0.704,0,0.692,0.634,0.686
"7",7,0,0.696,0.724,0,0.668,0.634,0.696
"8",8,0,0.698,0.73,0,0.696,0.658,0.698
"9",9,0,0.674,0.69,0,0.67,0.63,0.674
"10",10,0,0.678,0.68,0,0.66,0.618,0.678
"11",11,0,0.68,0.698,0,0.674,0.62,0.678
"12",12,0,0.66,0.674,0,0.66,0.6,0.66
"13",13,0,0.722,0.728,0,0.712,0.682,0.722
"14",14,0,0.676,0.708,0,0.66,0.634,0.676
"15",15,0,0.688,0.712,0,0.668,0.626,0.69
"16",16,0,0.674,0.692,0,0.646,0.602,0.674
"17",17,0,0.674,0.69,0,0.642,0.606,0.674
"18",18,0,0.686,0.722,0,0.678,0.646,0.686
"19",19,0,0.66,0.686,0,0.646,0.612,0.66
"20",20,0,0.662,0.688,0,0.66,0.618,0.662
"21",21,0,0.664,0.682,0,0.644,0.6,0.664
"22",22,0,0.702,0.714,0,0.686,0.65,0.702
"23",23,0,0.668,0.694,0,0.648,0.594,0.668
"24",24,0,0.698,0.71,0,0.67,0.62,0.698
"25",25,0,0.662,0.68,0,0.656,0.618,0.662
"26",26,0,0.654,0.658,0,0.64,0.598,0.654
"27",27,0,0.68,0.692,0,0.65,0.606,0.68
"28",28,0,0.654,0.674,0,0.644,0.61,0.654
"29",29,0,0.67,0.7,0,0.662,0.624,0.666
"30",30,0,0.678,0.702,0,0.666,0.638,0.678
"31",31,0,0.658,0.672,0,0.652,0.598,0.658
"32",32,0,0.668,0.694,0,0.656,0.624,0.672
"33",33,0,0.68,0.688,0,0.646,0.6,0.68
"34",34,0,0.744,0.756,0,0.734,0.692,0.744
"35",35,0,0.704,0.73,0,0.688,0.658,0.704
"36",36,0,0.716,0.718,0,0.684,0.632,0.716
"37",37,0,0.684,0.704,0,0.674,0.632,0.684
"38",38,0,0.712,0.72,0,0.708,0.676,0.712
"39",39,0,0.732,0.746,0,0.716,0.686,0.732
"40",40,0,0.684,0.684,0,0.658,0.634,0.684
"41",41,0,0.672,0.68,0,0.66,0.638,0.672
"42",42,0,0.694,0.692,0,0.676,0.618,0.7
"43",43,0,0.658,0.684,0,0.652,0.62,0.658
"44",44,0,0.658,0.68,0,0.664,0.596,0.658
"45",45,0,0.712,0.704,0,0.692,0.646,0.712
"46",46,0,0.66,0.678,0,0.648,0.622,0.66
"47",47,0,0.644,0.67,0,0.632,0.604,0.644
"48",48,0,0.73,0.75,0,0.716,0.672,0.73
"49",49,0,0.654,0.676,0,0.632,0.59,0.656
"50",50,0,0.688,0.7,0,0.682,0.636,0.688
