"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch"
"1",1,0,0.135135135135135,0.131205673758865,0.135135135135135,0.0945945945945946
"2",2,0,0.0348837209302326,0.118705035971223,0.0344827586206897,0.0408163265306122
"3",3,0,0.0824742268041237,0.0855018587360595,0.0824742268041237,0.0736842105263158
"4",4,0,0.0819672131147541,0.111940298507463,0.0828729281767956,0.0990990990990991
"5",5,0,0.0804597701149425,0.0932835820895522,0.0751445086705202,0.118181818181818
"6",6,0,0.083743842364532,0.0972222222222222,0.0792079207920792,0.0743801652892562
"7",7,0,0.0862944162436548,0.0557620817843866,0.0862944162436548,0.0983606557377049
"8",8,0,0.103626943005181,0.122743682310469,0.1,0.102803738317757
"9",9,0,0.087962962962963,0.0687285223367698,0.0892018779342723,0.0789473684210526
"10",10,0,0.101941747572816,0.0690909090909091,0.0975609756097561,0.0683760683760684
"11",11,0,0.0862944162436548,0.0814814814814815,0.086734693877551,0.109090909090909
"12",12,0,0.091304347826087,0.112211221122112,0.091304347826087,0.0785714285714286
"13",13,0,0.0932642487046632,0.0714285714285714,0.0842105263157895,0.11214953271028
"14",14,0,0.118811881188119,0.118421052631579,0.118811881188119,0.108108108108108
"15",15,0,0.0961538461538462,0.0648854961832061,0.087378640776699,0.0606060606060606
"16",16,0,0.117948717948718,0.0862068965517241,0.11340206185567,0.0898876404494382
"17",17,0,0.0918918918918919,0.109803921568627,0.0918918918918919,0.0975609756097561
"18",18,0,0.106382978723404,0.0769230769230769,0.103004291845494,0.0782608695652174
"19",19,0,0.0845070422535211,0.118959107806691,0.0851063829787234,0.025
"20",20,0,0.0594594594594595,0.0836363636363636,0.0594594594594595,0.0588235294117647
"21",21,0,0.0647058823529412,0.100371747211896,0.0647058823529412,0.0714285714285714
"22",22,0,0.108490566037736,0.0613718411552347,0.108490566037736,0.0840336134453782
"23",23,0,0.102803738317757,0.0985915492957746,0.102803738317757,0.0819672131147541
"24",24,0,0.0927835051546392,0.0772058823529412,0.0947368421052632,0.0967741935483871
"25",25,0,0.130434782608696,0.0909090909090909,0.130434782608696,0.12962962962963
"26",26,0,0.0833333333333333,0.0884353741496599,0.0829015544041451,0.0598290598290598
"27",27,0,0.0852272727272727,0.0490566037735849,0.0778443113772455,0.0917431192660551
"28",28,0,0.122340425531915,0.0845070422535211,0.117021276595745,0.09375
"29",29,0,0.095,0.0833333333333333,0.095,0.115702479338843
"30",30,0,0.0934065934065934,0.106164383561644,0.0934065934065934,0.0956521739130435
"31",31,0,0.0776699029126214,0.0918367346938776,0.0776699029126214,0.05
"32",32,0,0.0725388601036269,0.0610687022900763,0.0698924731182796,0.0720720720720721
"33",33,0,0.0869565217391304,0.0903225806451613,0.0833333333333333,0.0526315789473684
"34",34,0,0.0753768844221105,0.0942028985507246,0.0707070707070707,0.04
"35",35,0,0.102040816326531,0.111111111111111,0.102564102564103,0.0934579439252336
"36",36,0,0.101851851851852,0.120141342756184,0.0981308411214953,0.116071428571429
"37",37,0,0.0736842105263158,0.0757575757575758,0.0736842105263158,0.0854700854700855
"38",38,0,0.0677083333333333,0.0889679715302491,0.0725388601036269,0.0847457627118644
"39",39,0,0.101796407185629,0.0869565217391304,0.102409638554217,0.0860215053763441
"40",40,0,0.101694915254237,0.09375,0.102857142857143,0.0816326530612245
"41",41,0,0.0796019900497512,0.0719424460431655,0.0796019900497512,0.0510204081632653
"42",42,0,0.142857142857143,0.106761565836299,0.14018691588785,0.142857142857143
"43",43,0,0.0918918918918919,0.0992647058823529,0.0939226519337017,0.104761904761905
"44",44,0,0.0871794871794872,0.0684410646387833,0.0871794871794872,0.0487804878048781
"45",45,0,0.0469798657718121,0.0487804878048781,0.0472972972972973,0.0714285714285714
"46",46,0,0.0967741935483871,0.0760456273764259,0.0976744186046512,0.108695652173913
"47",47,0,0.0758293838862559,0.116279069767442,0.0758293838862559,0.0483870967741935
"48",48,0,0.104972375690608,0.0884615384615385,0.105555555555556,0.12
"49",49,0,0.131147540983607,0.16271186440678,0.131147540983607,0.118279569892473
"50",50,0,0.120192307692308,0.113333333333333,0.119047619047619,0.109756097560976
