"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F"
"1",1,0,0,0,0,0,0.0285714285714286
"2",2,0,0,0,0,0,0.0198019801980198
"3",3,0,0,0,0,0,0.0234375
"4",4,0,0,0,0,0,0.0579710144927536
"5",5,0,0,0,0,0,0.0125
"6",6,0,0,0,0,0,0.01875
"7",7,0,0,0,0,0,0.0166666666666667
"8",8,0,0,0,0,0,0.0158730158730159
"9",9,0,0,0,0,0,0.0471698113207547
"10",10,0,0,0,0,0,0.0365853658536585
"11",11,0,0,0,0,0,0.0416666666666667
"12",12,0,0,0,0,0,0.0359281437125748
"13",13,0,0,0,0,0,0.0396825396825397
"14",14,0,0,0,0,0,0
"15",15,0,0,0,0,0,0.0307692307692308
"16",16,0,0,0,0,0,0.00934579439252336
"17",17,0,0,0,0,0,0.0253164556962025
"18",18,0,0,0,0,0,0.0133333333333333
"19",19,0,0,0,0,0,0.0103092783505155
"20",20,0,0,0,0,0,0.0145985401459854
"21",21,0,0,0,0,0,0.0413793103448276
"22",22,0,0,0,0,0,0.0256410256410256
"23",23,0,0,0,0,0,0.0344827586206897
"24",24,0,0,0,0,0,0.0136054421768707
"25",25,0,0,0,0,0,0.0390625
"26",26,0,0,0,0,0,0.0294117647058824
"27",27,0,0,0,0,0,0.0265486725663717
"28",28,0,0,0,0,0,0.0583333333333333
"29",29,0,0,0,0,0,0.0131578947368421
"30",30,0,0,0,0,0,0.0449438202247191
"31",31,0,0,0,0,0,0.0317460317460317
"32",32,0,0,0,0,0,0.0492957746478873
"33",33,0,0,0,0,0,0.0388349514563107
"34",34,0,0,0,0,0,0.024390243902439
"35",35,0,0,0,0,0,0.0141843971631206
"36",36,0,0,0,0,0,0.0289017341040462
"37",37,0,0,0,0,0,0.02
"38",38,0,0,0,0,0,0.0305343511450382
"39",39,0,0,0,0,0,0.0206185567010309
"40",40,0,0,0,0,0,0.0413793103448276
"41",41,0,0,0,0,0,0.0316455696202532
"42",42,0,0,0,0,0,0.0457516339869281
"43",43,0,0,0,0,0,0.0421686746987952
"44",44,0,0,0,0,0,0.00714285714285714
"45",45,0,0,0,0,0,0.0173913043478261
"46",46,0,0,0,0,0,0.0451612903225806
"47",47,0,0,0,0,0,0.0367647058823529
"48",48,0,0,0,0,0,0.0258064516129032
"49",49,0,0,0,0,0,0.0206896551724138
"50",50,0,0,0,0,0,0.00757575757575758
