"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch"
"1",1,0.586,0.586,0.62,0.586,0.5
"2",2,0.528,0.53,0.562,0.528,0.456
"3",3,0.538,0.54,0.58,0.538,0.464
"4",4,0.552,0.552,0.598,0.552,0.468
"5",5,0.546,0.544,0.59,0.542,0.478
"6",6,0.486,0.486,0.528,0.486,0.41
"7",7,0.564,0.564,0.602,0.564,0.46
"8",8,0.496,0.492,0.542,0.49,0.426
"9",9,0.534,0.534,0.578,0.534,0.472
"10",10,0.524,0.526,0.56,0.524,0.446
"11",11,0.538,0.538,0.572,0.538,0.458
"12",12,0.514,0.512,0.552,0.516,0.456
"13",13,0.582,0.586,0.6,0.584,0.482
"14",14,0.522,0.522,0.548,0.52,0.452
"15",15,0.574,0.574,0.61,0.574,0.506
"16",16,0.55,0.55,0.578,0.55,0.498
"17",17,0.53,0.53,0.586,0.532,0.472
"18",18,0.576,0.576,0.604,0.576,0.512
"19",19,0.554,0.55,0.594,0.552,0.464
"20",20,0.584,0.582,0.616,0.58,0.508
"21",21,0.546,0.544,0.586,0.546,0.476
"22",22,0.548,0.546,0.582,0.546,0.468
"23",23,0.508,0.51,0.552,0.51,0.414
"24",24,0.556,0.56,0.594,0.558,0.464
"25",25,0.552,0.554,0.574,0.554,0.47
"26",26,0.586,0.584,0.616,0.582,0.508
"27",27,0.528,0.528,0.554,0.528,0.432
"28",28,0.548,0.548,0.568,0.548,0.448
"29",29,0.572,0.572,0.61,0.572,0.484
"30",30,0.536,0.534,0.592,0.534,0.45
"31",31,0.528,0.528,0.57,0.526,0.458
"32",32,0.566,0.56,0.596,0.56,0.498
"33",33,0.544,0.54,0.59,0.54,0.436
"34",34,0.562,0.562,0.584,0.562,0.494
"35",35,0.55,0.55,0.586,0.55,0.458
"36",36,0.52,0.52,0.564,0.52,0.452
"37",37,0.524,0.526,0.56,0.526,0.446
"38",38,0.554,0.554,0.588,0.554,0.45
"39",39,0.604,0.602,0.642,0.602,0.526
"40",40,0.544,0.544,0.588,0.544,0.482
"41",41,0.576,0.574,0.614,0.574,0.48
"42",42,0.546,0.548,0.59,0.548,0.502
"43",43,0.544,0.544,0.556,0.544,0.448
"44",44,0.6,0.6,0.64,0.602,0.498
"45",45,0.528,0.526,0.546,0.51,0.426
"46",46,0.532,0.53,0.552,0.53,0.44
"47",47,0.58,0.58,0.604,0.576,0.478
"48",48,0.554,0.554,0.59,0.554,0.478
"49",49,0.548,0.548,0.602,0.548,0.466
"50",50,0.52,0.514,0.57,0.514,0.448
