"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t"
"1",1,0,0.102702702702703,0.0966057441253264,0,0.115819209039548,0.0584192439862543,0.102425876010782
"2",2,0,0.0687679083094556,0.0801104972375691,0,0.0833333333333333,0.0340136054421769,0.0687679083094556
"3",3,0,0.0664652567975831,0.0939226519337017,0,0.0654205607476635,0.0216606498194946,0.0664652567975831
"4",4,0,0.0808383233532934,0.0735294117647059,0,0.0945121951219512,0.0509090909090909,0.0780780780780781
"5",5,0,0.0957446808510638,0.0961038961038961,0,0.0814606741573034,0.0517799352750809,0.0981432360742706
"6",6,0,0.106100795755968,0.0935828877005348,0,0.103932584269663,0.0298013245033113,0.106100795755968
"7",7,0,0.0947368421052632,0.10379746835443,0,0.0978260869565217,0.0429042904290429,0.0963541666666667
"8",8,0,0.0875706214689266,0.096514745308311,0,0.104046242774566,0.0316901408450704,0.0873239436619718
"9",9,0,0.0947075208913649,0.0994764397905759,0,0.0656716417910448,0.027681660899654,0.0947075208913649
"10",10,0,0.0923913043478261,0.117647058823529,0,0.136239782016349,0.056140350877193,0.0972972972972973
"11",11,0,0.0753623188405797,0.0954907161803713,0,0.0994318181818182,0.0553745928338762,0.0726744186046512
"12",12,0,0.0973451327433628,0.0893854748603352,0,0.0843373493975904,0.0452961672473868,0.0973451327433628
"13",13,0,0.0914127423822715,0.0925925925925926,0,0.10632183908046,0.039426523297491,0.0939226519337017
"14",14,0,0.0919220055710306,0.109625668449198,0,0.0959302325581395,0.0303030303030303,0.0919220055710306
"15",15,0,0.0687679083094556,0.0805555555555556,0,0.0916905444126074,0.0243055555555556,0.0714285714285714
"16",16,0,0.0858725761772853,0.0797872340425532,0,0.0901162790697674,0.0547945205479452,0.0858725761772853
"17",17,0,0.0835734870317003,0.0769230769230769,0,0.073394495412844,0.0306122448979592,0.0835734870317003
"18",18,0,0.0833333333333333,0.0794520547945206,0,0.0847953216374269,0.0240549828178694,0.0833333333333333
"19",19,0,0.103064066852368,0.0989010989010989,0,0.115492957746479,0.0381944444444444,0.103064066852368
"20",20,0,0.0828729281767956,0.106770833333333,0,0.113888888888889,0.0488599348534202,0.0828729281767956
"21",21,0,0.0803108808290155,0.0786240786240786,0,0.0906666666666667,0.0377358490566038,0.0803108808290155
"22",22,0,0.110192837465565,0.111702127659574,0,0.107246376811594,0.0449826989619377,0.110192837465565
"23",23,0,0.0504451038575668,0.0923913043478261,0,0.0748502994011976,0.037542662116041,0.0504451038575668
"24",24,0,0.0883977900552486,0.0609418282548476,0,0.096045197740113,0.039344262295082,0.0883977900552486
"25",25,0,0.101123595505618,0.0926430517711172,0,0.101744186046512,0.0218978102189781,0.101123595505618
"26",26,0,0.0756302521008403,0.08,0,0.0826210826210826,0.0468227424749164,0.0756302521008403
"27",27,0,0.0842105263157895,0.0862944162436548,0,0.0975609756097561,0.0519877675840979,0.0842105263157895
"28",28,0,0.0901408450704225,0.0869565217391304,0,0.0672782874617737,0.034965034965035,0.0878186968838527
"29",29,0,0.0906593406593407,0.078167115902965,0,0.0898876404494382,0.0482315112540193,0.0931506849315069
"30",30,0,0.0904109589041096,0.0897097625329815,0,0.0977653631284916,0.0301003344481605,0.0904109589041096
"31",31,0,0.0853333333333333,0.089974293059126,0,0.0606936416184971,0.0204778156996587,0.0831099195710456
"32",32,0,0.108333333333333,0.101876675603217,0,0.0903790087463557,0.0464285714285714,0.108333333333333
"33",33,0,0.0893371757925072,0.0803324099722992,0,0.0856269113149847,0.0372881355932203,0.0893371757925072
"34",34,0,0.068452380952381,0.0666666666666667,0,0.0615384615384615,0.0238907849829352,0.068452380952381
"35",35,0,0.0895953757225433,0.0911602209944751,0,0.0892857142857143,0.0344827586206897,0.0895953757225433
"36",36,0,0.0909090909090909,0.0909090909090909,0,0.086053412462908,0.0392857142857143,0.098314606741573
"37",37,0,0.0898203592814371,0.0952380952380952,0,0.0873493975903614,0.0487804878048781,0.0898203592814371
"38",38,0,0.1,0.111111111111111,0,0.113702623906706,0.039568345323741,0.1
"39",39,0,0.0703363914373089,0.0801186943620178,0,0.0809061488673139,0.039568345323741,0.0703363914373089
"40",40,0,0.118556701030928,0.104060913705584,0,0.10958904109589,0.033003300330033,0.123076923076923
"41",41,0,0.0802292263610315,0.0777777777777778,0,0.104956268221574,0.0390070921985816,0.0806916426512968
"42",42,0,0.0712166172106825,0.0736543909348442,0,0.0868263473053892,0.0354609929078014,0.0682492581602374
"43",43,0,0.056047197640118,0.0558659217877095,0,0.0313479623824451,0.0171821305841924,0.0532544378698225
"44",44,0,0.0888252148997135,0.0769230769230769,0,0.0919881305637982,0.0445205479452055,0.0883190883190883
"45",45,0,0.0816901408450704,0.0696378830083565,0,0.0941828254847645,0.027027027027027,0.0816901408450704
"46",46,0,0.0793201133144476,0.0824468085106383,0,0.0976331360946746,0.0247349823321555,0.0740740740740741
"47",47,0,0.146153846153846,0.125641025641026,0,0.132022471910112,0.0474576271186441,0.147959183673469
"48",48,0,0.10803324099723,0.10455764075067,0,0.0776119402985075,0.0440677966101695,0.10803324099723
"49",49,0,0.0906515580736544,0.09366391184573,0,0.121883656509695,0.055363321799308,0.0932203389830508
"50",50,0,0.102362204724409,0.0793650793650794,0,0.0891364902506964,0.0263157894736842,0.0954907161803713
